trial_index,speed,coherence,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,25,0.64,90,left,339.2515182495117,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
2,25,0.32,90,left,239.00747299194336,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
3,25,0.64,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
4,25,0.64,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
5,25,0.64,270,left,329.8478126525879,0.06009984016418457,1,-378.5999755859375,-1.70001220703125,-400.3013333333333,0.0
6,25,1.0,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
8,25,0.32,270,left,367.59161949157715,0.05930972099304199,1,-407.9000244140625,4.9000244140625,-400.3013333333333,0.0
9,25,0.16,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
10,25,0.16,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
11,25,0.32,270,left,355.1983833312988,0.060057640075683594,1,-398.9000244140625,76.0,-400.3013333333333,0.0
12,25,0.16,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
13,25,1.0,90,left,431.34212493896484,0.05972623825073242,1,-399.0,101.89999389648438,-400.3013333333333,0.0
14,25,0.32,270,left,0.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
15,25,0.32,270,left,405.4429531097412,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
16,25,1.0,90,left,230.0422191619873,0.05970025062561035,1,-382.5999755859375,112.0,-400.3013333333333,0.0
17,25,1.0,270,left,215.36922454833984,0.06026029586791992,1,-456.6000061035156,35.20001220703125,-400.3013333333333,0.0
18,25,1.0,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
19,25,0.32,270,left,379.67634201049805,0.06002688407897949,1,-367.79998779296875,49.79998779296875,-400.3013333333333,0.0
20,25,0.16,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
21,25,0.64,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
22,25,0.16,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
23,25,0.32,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
24,25,0.32,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
25,25,0.16,90,left,260.3144645690918,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
26,25,0.64,90,left,295.0780391693115,0.06058979034423828,1,-377.79998779296875,92.29998779296875,-400.3013333333333,0.0
27,25,0.32,90,left,410.97545623779297,0.06022334098815918,1,-388.79998779296875,49.0,-400.3013333333333,0.0
28,25,0.32,90,left,342.5934314727783,0.06011962890625,1,-373.79998779296875,67.0,-400.3013333333333,0.0
29,25,0.64,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
30,25,0.16,90,left,393.79143714904785,0.05965375900268555,1,-392.0999755859375,78.20001220703125,-400.3013333333333,0.0
31,25,1.0,270,left,334.9728584289551,0.059485673904418945,1,-399.79998779296875,-3.4000244140625,-400.3013333333333,0.0
32,25,0.64,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
33,25,1.0,270,left,280.717134475708,0.0607914924621582,1,-436.4000244140625,-33.70001220703125,-400.3013333333333,0.0
34,25,1.0,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
35,25,0.32,90,left,347.69248962402344,0.05945181846618652,1,-395.79998779296875,80.89999389648438,-400.3013333333333,0.0
36,25,1.0,90,left,380.5513381958008,0.05886435508728027,1,-400.9000244140625,99.29998779296875,-400.3013333333333,0.0
37,25,0.64,90,left,339.8938179016113,0.060038089752197266,1,-400.29998779296875,55.5,-400.3013333333333,0.0
38,25,0.16,90,left,322.00121879577637,0.05972099304199219,1,-405.0999755859375,100.5,-400.3013333333333,0.0
39,25,0.32,90,left,395.1699733734131,0.06000566482543945,1,-371.4000244140625,102.60000610351562,-400.3013333333333,0.0
40,25,0.16,90,left,333.01758766174316,0.05950284004211426,1,-412.0,87.60000610351562,-400.3013333333333,0.0
41,25,0.16,90,left,349.3177890777588,0.05986905097961426,1,-395.9000244140625,115.89999389648438,-400.3013333333333,0.0
42,25,0.32,90,left,218.123197555542,0.06011557579040527,1,-422.0999755859375,102.29998779296875,-400.3013333333333,0.0
43,25,0.16,90,left,328.5346031188965,0.06026864051818848,1,-407.70001220703125,105.39999389648438,-400.3013333333333,0.0
44,25,0.16,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
45,25,0.16,270,left,261.8756294250488,0.059808969497680664,1,-407.5999755859375,9.29998779296875,-400.3013333333333,0.0
46,25,0.64,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
47,25,0.16,90,left,250.30112266540527,0.060190439224243164,1,-404.9000244140625,77.79998779296875,-400.3013333333333,0.0
48,25,0.32,270,left,256.3302516937256,0.06057906150817871,1,-404.29998779296875,69.5,-400.3013333333333,0.0
