trial_index,speed,coherence,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,25,0.35,90,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
2,25,0.2,270,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
3,25,0.0,270,left,204.0395736694336,-1,0,-1,-1,-400.3013333333333,0.0
4,25,0.35,270,left,372.9419708251953,-1,0,-1,-1,-400.3013333333333,0.0
5,25,0.0,270,left,314.2108917236328,-1,0,-1,-1,-400.3013333333333,0.0
6,25,0.0,90,left,295.7139015197754,-1,0,-1,-1,-400.3013333333333,0.0
7,25,0.1,90,left,388.9291286468506,-1,0,-1,-1,-400.3013333333333,0.0
8,25,0.6,90,left,264.65559005737305,-1,0,-1,-1,-400.3013333333333,0.0
9,25,0.1,270,left,301.9144535064697,-1,0,-1,-1,-400.3013333333333,0.0
10,25,0.6,270,left,305.3700923919678,-1,0,-1,-1,-400.3013333333333,0.0
11,25,0.1,90,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
12,25,0.6,90,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
