trial_index,mode,correct,reaction_time
1,noise,0,244.246
2,noise,0,245.831
3,noise,0,-1.0
4,noise,1,-1.0
5,noise,0,210.041
6,noise,1,-1.0
7,noise,1,-1.0
8,noise,1,-1.0
9,noise,1,-1.0
10,go,1,-1.0
11,go,0,-1.0
12,go,1,198.401
13,go,1,250.44
14,go,1,240.618
15,go,1,414.607
16,go,0,-1.0
17,go,1,150.39
18,go,1,348.982
19,go,1,259.907
20,go,1,258.794
21,noise,1,400.2
22,noise,1,-1.0
23,noise,0,290.057
24,noise,0,106.519
25,noise,1,-1.0
26,noise,1,-1.0
27,noise,1,-1.0
28,noise,1,-1.0
29,go,1,-1.0
30,go,1,319.991
31,go,0,-1.0
32,go,1,227.446
33,go,0,-1.0
34,go,1,236.994
35,go,0,-1.0
36,go,1,245.05
37,go,1,350.005
38,go,1,231.038
39,go,1,262.432
40,go,0,-1.0
41,go,1,259.96
42,go,0,-1.0
43,go,1,240.395
44,go,1,269.925
45,go,0,-1.0
46,go,1,255.009
47,go,1,259.136
48,go,1,230.078
49,go,1,199.934
50,noise,1,150.646
51,noise,1,-1.0
52,noise,1,-1.0
53,noise,0,287.98
54,noise,1,-1.0
55,noise,1,-1.0
56,noise,0,267.467
57,noise,1,-1.0
58,noise,1,-1.0
59,noise,1,-1.0
60,noise,1,-1.0
61,go,1,-1.0
62,go,0,-1.0
63,go,0,-1.0
64,go,1,280.601
65,go,1,240.061
66,go,1,197.34
67,go,1,259.798
68,noise,1,270.034
69,noise,0,276.145
70,noise,0,144.184
71,noise,0,108.625
72,noise,1,-1.0
73,noise,1,-1.0
74,noise,1,-1.0
75,noise,1,-1.0
76,go,1,-1.0
77,go,0,-1.0
78,go,0,-1.0
79,go,1,187.49
80,go,0,-1.0
81,go,0,-1.0
82,go,1,222.825
83,go,1,276.913
84,go,1,357.937
85,go,1,394.837
86,noise,1,218.472
87,noise,1,-1.0
88,noise,1,-1.0
89,noise,1,-1.0
90,noise,1,-1.0
91,go,1,-1.0
92,go,0,-1.0
93,go,1,369.091
94,go,1,462.48
95,go,1,263.488
96,go,0,-1.0
97,go,0,-1.0
98,go,1,212.168
99,go,0,-1.0
100,go,1,254.729
101,go,1,318.293
102,go,0,-1.0
103,go,1,226.357
104,go,1,330.395
105,go,1,234.402
106,go,1,368.651
107,noise,1,316.213
108,noise,1,-1.0
109,noise,0,316.393
110,noise,0,141.584
111,noise,0,148.342
112,noise,1,-1.0
113,noise,0,147.357
114,noise,0,360.173
115,noise,1,-1.0
116,noise,0,208.063
117,noise,0,97.617
118,noise,0,132.552
119,noise,1,-1.0
120,noise,1,-1.0
121,noise,1,-1.0
122,noise,1,-1.0
123,go,1,-1.0
124,go,0,-1.0
125,go,1,211.041
126,go,1,199.814
127,go,1,280.026
128,go,1,258.012
129,go,0,-1.0
130,go,1,376.482
131,go,0,-1.0
132,go,0,-1.0
133,go,0,-1.0
134,go,0,-1.0
135,go,0,-1.0
136,go,1,199.763
137,go,1,307.806
138,go,1,293.543
139,go,1,415.174
140,go,0,-1.0
141,go,1,146.61
142,go,1,281.048
143,go,1,210.312
144,go,1,232.734
145,noise,1,116.839
146,noise,0,296.409
147,noise,1,-1.0
148,noise,0,180.891
149,noise,0,200.047
150,noise,0,172.364
151,noise,1,-1.0
152,noise,1,-1.0
153,noise,1,-1.0
154,noise,1,-1.0
155,go,1,-1.0
156,go,0,-1.0
157,go,0,-1.0
158,go,0,-1.0
159,go,1,298.388
160,go,1,319.867
161,go,1,170.431
162,go,1,418.536
163,noise,1,314.741
164,noise,1,-1.0
165,noise,1,-1.0
166,noise,1,-1.0
167,noise,1,-1.0
168,noise,0,278.955
169,noise,1,-1.0
170,noise,1,-1.0
171,noise,1,-1.0
172,noise,1,-1.0
173,noise,0,252.299
174,noise,1,-1.0
175,noise,1,-1.0
176,noise,0,250.096
177,noise,1,-1.0
178,noise,1,-1.0
179,noise,1,-1.0
180,noise,1,-1.0
181,go,1,-1.0
182,go,0,-1.0
183,go,1,228.334
184,go,0,-1.0
185,go,0,-1.0
186,go,1,315.488
187,go,0,-1.0
188,go,1,204.56
189,go,1,247.623
190,go,1,443.605
191,go,1,239.946
192,noise,1,358.25
193,noise,0,257.051
194,noise,1,-1.0
195,noise,1,-1.0
196,noise,0,289.665
197,noise,0,135.615
198,noise,1,-1.0
199,noise,0,348.511
200,noise,0,120.034
201,noise,0,256.517
202,noise,0,-1.0
203,noise,0,107.166
204,noise,0,146.955
205,noise,0,-1.0
206,noise,0,-1.0
207,no-go,1,-1.0
208,noise,1,-1.0
209,noise,1,-1.0
210,noise,1,-1.0
211,go,1,-1.0
212,go,0,-1.0
213,go,0,-1.0
214,go,1,308.019
215,go,0,-1.0
216,go,1,209.774
217,go,1,242.204
218,go,1,270.275
219,go,1,280.422
220,noise,1,230.577
221,noise,0,270.44
222,noise,1,-1.0
223,noise,1,-1.0
224,noise,0,170.125
225,noise,1,-1.0
226,noise,1,-1.0
227,noise,0,346.826
228,noise,0,293.067
229,noise,1,-1.0
230,noise,1,-1.0
231,noise,0,199.69
232,noise,0,140.369
233,noise,0,238.563
234,noise,0,105.543
235,noise,1,-1.0
236,noise,1,-1.0
237,noise,1,-1.0
238,noise,1,-1.0
239,noise,0,294.768
240,noise,1,-1.0
241,noise,1,-1.0
242,noise,1,-1.0
243,noise,1,-1.0
244,go,1,-1.0
245,go,0,-1.0
246,go,0,-1.0
247,go,1,209.686
248,go,0,-1.0
249,go,1,267.594
250,go,1,305.641
251,go,1,257.427
252,go,1,251.104
253,noise,1,296.718
254,noise,0,227.473
255,noise,0,220.093
256,noise,0,261.985
257,noise,1,-1.0
258,noise,1,-1.0
259,noise,1,-1.0
260,noise,1,-1.0
261,go,1,-1.0
262,go,0,-1.0
263,go,1,310.578
264,go,1,272.205
265,go,0,-1.0
266,go,1,149.909
267,go,1,189.864
268,go,1,209.83
269,go,1,138.231
270,noise,1,171.509
271,noise,1,-1.0
272,noise,0,299.894
273,noise,1,-1.0
274,noise,0,284.263
275,noise,1,-1.0
276,noise,1,-1.0
277,noise,1,-1.0
278,noise,1,-1.0
279,go,1,-1.0
280,go,0,-1.0
281,go,1,450.48
282,go,1,410.313
283,go,1,250.373
284,go,0,-1.0
285,go,1,209.175
286,go,1,366.737
287,go,1,246.031
288,go,1,130.628
289,noise,1,210.386
290,noise,0,154.198
291,noise,0,104.009
292,noise,0,200.132
293,noise,0,147.706
294,noise,0,166.597
295,noise,1,-1.0
296,noise,1,-1.0
297,noise,1,-1.0
298,noise,1,-1.0
299,go,1,-1.0
300,go,0,-1.0
301,go,0,-1.0
302,go,1,256.836
303,go,1,352.394
304,go,1,320.326
305,go,1,300.31
306,go,0,-1.0
307,go,1,350.189
308,go,1,289.973
309,go,1,279.841
310,go,1,197.892
311,go,0,-1.0
312,go,1,212.523
313,go,1,270.555
314,go,1,230.294
315,go,1,296.965
316,noise,1,260.757
317,noise,0,137.901
318,noise,1,-1.0
319,noise,1,-1.0
320,noise,1,-1.0
