trial_index,trial_start_time,trial_start_tracker_time,speed,coherence,direction,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,saccade_start_x,saccade_start_y,stim_x,stim_y,fix_onset,fix_onset_tracker,stim_onset,stim_onset_tracker,stim_offset,stim_offset_tracker,saccade_onset,saccade_onset_tracker
1,1758915124.8597312,264948077.0,25,0.1,270,-1,-1,0,-1,-1,-1,-1,-200.15066666666664,160.12053333333333,-1,-1,-1,-1,-1,-1,-1,-1
2,1758915131.2033994,264954421.0,25,0.1,270,-1,-1,0,-1,-1,-1,-1,-200.15066666666664,160.12053333333333,-1,-1,-1,-1,-1,-1,-1,-1
3,1758915137.1159754,264960333.0,25,0.1,90,-1,-1,0,-1,-1,-1,-1,-200.15066666666664,160.12053333333333,-1,-1,-1,-1,-1,-1,-1,-1
4,1758915142.9869475,264966204.0,25,0.35,90,-1,-1,0,-1,-1,-1,-1,-200.15066666666664,160.12053333333333,-1,-1,-1,-1,-1,-1,-1,-1
6,1758915162.1361647,264985354.0,25,0.6,90,-1,-1,0,-1,-1,-1,-1,-200.15066666666664,160.12053333333333,-1,-1,-1,-1,-1,-1,-1,-1
8,1758915210.6926725,265033910.0,25,0.35,90,-1,-1,0,-1,-1,-1,-1,-200.15066666666664,160.12053333333333,-1,-1,-1,-1,-1,-1,-1,-1
