trial_index,trial_start_time,trial_start_tracker_time,speed,coherence,direction,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,saccade_start_x,saccade_start_y,stim_x,stim_y,fix_onset,fix_onset_tracker,stim_onset,stim_onset_tracker,stim_offset,stim_offset_tracker,saccade_onset,saccade_onset_tracker,fix_x,fix_y
1,1758920083.3909101,671748.0,16,0.2,270,184.5407485961914,0.0049092769622802734,1,-199.5,145.5,-69.4000244140625,-70.20001220703125,-200.15066666666664,160.12053333333333,1758920083.6917036,672264.0,1758920084.3087091,672667.0,1758920084.5029655,672861.0,1758920084.49325,672851.0,0.0,0.0
2,1758920086.7840197,675142.0,16,0.0,270,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758920089.0088625,677578.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
3,1758920090.6493082,679007.0,16,0.0,90,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758920091.0001237,679576.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
4,1758920092.5415926,680899.0,16,0.1,270,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758920095.309507,683875.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
5,1758920097.0926197,685450.0,16,0.0,270,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758920099.3284683,687898.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
6,1758920100.8951547,689253.0,16,0.1,270,227.62632369995117,0.004403352737426758,1,-219.0999755859375,183.60000610351562,-81.9000244140625,-59.79998779296875,-200.15066666666664,160.12053333333333,1758920101.3422215,689911.0,1758920102.184984,690543.0,1758920102.4220986,690780.0,1758920102.4126103,690770.0,0.0,0.0
7,1758920104.6108797,692968.0,16,0.1,270,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758920105.5299697,694099.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
8,1758920107.1901531,695548.0,16,0.1,90,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
9,1758920114.3348217,702692.0,16,0.2,90,295.8097457885742,0.004292964935302734,1,-167.20001220703125,181.10000610351562,-81.29998779296875,-109.70001220703125,-200.15066666666664,160.12053333333333,1758920115.9120073,704489.0,1758920116.5764225,704934.0,1758920116.8821514,705240.0,1758920116.8722322,705230.0,0.0,0.0
10,1758920119.177313,707535.0,16,0.35,90,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758920122.7729514,711348.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
11,1758920124.5761201,712934.0,16,0.1,90,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758920125.6355093,714211.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
12,1758920127.4835646,715841.0,16,0.0,90,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758920127.7721395,716343.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
13,1758920129.5305827,717888.0,16,0.1,90,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
14,1758920136.0998101,724457.0,16,0.1,90,341.5508270263672,0.0043833255767822266,1,-179.70001220703125,141.79998779296875,-132.5,-102.39999389648438,-200.15066666666664,160.12053333333333,1758920138.5909865,727168.0,1758920139.4795175,727837.0,1758920139.8312063,728189.0,1758920139.8210683,728179.0,0.0,0.0
15,1758920142.1154633,730473.0,16,0.0,270,347.2168445587158,0.0053157806396484375,1,-207.9000244140625,171.29998779296875,-146.0,-104.70001220703125,-200.15066666666664,160.12053333333333,1758920142.4013095,730971.0,1758920143.2837458,731641.0,1758920143.6407812,731999.0,1758920143.6309626,731989.0,0.0,0.0
16,1758920146.0794964,734437.0,16,0.6,270,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758920147.075008,735646.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
17,1758920149.037083,737394.0,16,0.0,270,340.0716781616211,0.005507230758666992,1,-189.70001220703125,170.79998779296875,-111.5,-51.100006103515625,-200.15066666666664,160.12053333333333,1758920152.4691496,741029.0,1758920153.2205532,741578.0,1758920153.570467,741928.0,1758920153.5606248,741918.0,0.0,0.0
18,1758920156.0479925,744406.0,16,0.0,270,231.69684410095215,0.004896402359008789,1,-202.9000244140625,180.79998779296875,-153.5999755859375,-128.60000610351562,-200.15066666666664,160.12053333333333,1758920157.047071,745608.0,1758920157.9188664,746276.0,1758920158.160669,746518.0,1758920158.1505632,746508.0,0.0,0.0
19,1758920160.630073,748988.0,16,0.6,270,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
20,1758920167.3383496,755696.0,16,0.1,270,30.06911277770996,0.005032062530517578,1,-149.0,123.5,-133.20001220703125,-95.0,-200.15066666666664,160.12053333333333,1758920169.0797374,757649.0,1758920169.9303916,758288.0,1758920169.970493,758328.0,1758920169.9604607,758318.0,0.0,0.0
21,1758920172.4689229,760827.0,16,0.6,270,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758920172.6430712,761218.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
