trial_index,mode,correct,reaction_time
1,noise,0,-1.0
2,noise,0,-1.0
3,noise,1,-1.0
4,noise,0,-1.0
5,noise,1,-1.0
6,noise,1,-1.0
7,noise,1,-1.0
8,noise,0,-1.0
9,noise,0,-1.0
10,noise,1,-1.0
11,noise,0,471.4341163635254
12,noise,0,0.499725341796875
13,noise,0,-1.0
14,noise,0,970.0930118560791
15,noise,0,-1.0
16,noise,1,-1.0
17,noise,1,-1.0
18,noise,1,-1.0
19,noise,0,0.9903907775878906
20,noise,1,-1.0
21,noise,0,0.4811286926269531
22,noise,1,-1.0
23,noise,1,-1.0
24,noise,0,0.4127025604248047
25,noise,1,-1.0
26,noise,1,-1.0
27,noise,1,-1.0
28,noise,1,-1.0
29,noise,1,-1.0
30,go,0,-1.0
31,go,0,-1.0
32,go,1,-1.0
33,go,0,-1.0
34,go,0,-1.0
35,go,1,-1.0
36,go,0,-1.0
37,go,0,-1.0
38,go,1,0.5018711090087891
39,go,1,-1.0
40,go,0,-1.0
41,go,1,-1.0
42,go,0,-1.0
43,go,1,-1.0
44,go,0,-1.0
45,go,1,-1.0
46,go,1,-1.0
47,go,1,-1.0
48,go,0,-1.0
49,go,1,-1.0
50,go,1,-1.0
51,go,1,-1.0
52,go,1,-1.0
53,go,1,-1.0
54,noise,1,-1.0
55,noise,1,-1.0
56,noise,1,-1.0
57,noise,1,-1.0
58,noise,0,0.4985332489013672
59,go,1,-1.0
60,go,1,-1.0
61,go,0,-1.0
62,go,1,-1.0
63,go,1,-1.0
64,go,1,0.5004405975341797
65,go,1,-1.0
66,go,1,-1.0
67,noise+go,1,0.4990100860595703
68,noise+go,0,-1.0
69,noise+go,0,0.5033016204833984
70,noise+go,0,0.46515464782714844
71,noise+go,0,-1.0
72,noise+go,0,-1.0
73,noise+go,0,0.4951953887939453
74,noise+go,1,-1.0
75,noise+go,1,-1.0
76,noise+go,0,0.49948692321777344
77,noise+go,0,-1.0
78,noise+go,0,0.5028247833251953
79,noise+go,0,-1.0
80,noise+go,0,0.49185752868652344
81,noise+go,0,0.4992485046386719
82,noise+go,0,-1.0
83,noise+go,0,-1.0
84,noise+go,0,-1.0
85,noise+go,0,-1.0
86,noise+go,0,-1.0
87,noise+go,0,-1.0
88,noise+go,0,-1.0
89,noise+go,0,-1.0
90,noise+go,0,-1.0
91,noise+go,0,-1.0
92,noise+go,0,-1.0
93,noise+go,0,-1.0
94,noise+go,0,-1.0
95,noise+go,0,-1.0
96,noise+go,0,0.49877166748046875
97,noise+go,0,-1.0
98,noise+go,0,-1.0
99,noise+go,0,0.5025863647460938
100,noise+go,0,0.4687309265136719
101,noise+go,0,-1.0
102,noise+go,0,-1.0
103,noise+go,0,0.4971027374267578
104,noise+go,0,-1.0
105,noise+go,0,-1.0
106,noise+go,0,-1.0
107,noise+go,0,-1.0
108,noise+go,0,-1.0
109,noise+go,0,-1.0
110,go,1,0.49614906311035156
111,go,1,0.499725341796875
112,go,0,-1.0
113,go,1,-1.0
114,go,1,-1.0
115,go,1,-1.0
116,go,0,-1.0
117,go,1,-1.0
118,go,1,0.49567222595214844
119,go,1,0.4990100860595703
120,go,1,-1.0
121,noise,0,-1.0
122,noise,0,-1.0
123,noise,0,-1.0
124,noise,0,3.0028820037841797
125,noise,1,-1.0
126,noise,1,-1.0
127,noise,1,-1.0
128,noise,1,-1.0
129,noise,0,-1.0
130,noise,0,-1.0
131,noise,0,-1.0
132,noise,0,0.49614906311035156
133,noise,0,0.4951953887939453
134,noise,0,0.9927749633789062
135,noise,1,-1.0
136,noise,1,-1.0
137,noise,1,-1.0
138,noise,1,-1.0
139,noise,1,-1.0
140,noise,1,-1.0
141,noise,1,-1.0
142,noise,1,-1.0
143,noise,1,-1.0
144,noise,1,-1.0
145,go,0,-1.0
146,go,0,-1.0
147,go,1,4.462718963623047
148,go,0,-1.0
149,go,1,0.5018711090087891
150,go,1,-1.0
151,go,0,-1.0
152,go,0,-1.0
153,go,1,-1.0
154,go,0,-1.0
155,go,0,-1.0
156,go,1,-1.0
157,go,1,-1.0
158,go,0,-1.0
159,go,1,-1.0
160,go,0,-1.0
161,go,0,-1.0
162,go,1,-1.0
163,go,0,-1.0
164,go,1,-1.0
165,go,1,0.49877166748046875
166,go,0,-1.0
167,go,1,-1.0
168,go,1,-1.0
169,go,1,0.49996376037597656
170,go,0,-1.0
171,go,1,0.5323886871337891
172,go,1,-1.0
173,go,1,-1.0
174,go,1,-1.0
175,go,1,-1.0
176,noise+go,0,-1.0
177,noise+go,0,-1.0
178,noise+go,0,-1.0
179,noise+go,0,-1.0
180,noise+go,0,-1.0
181,noise+go,0,0.5009174346923828
182,noise+go,0,0.49567222595214844
183,noise+go,0,-1.0
184,noise+go,0,-1.0
185,noise+go,0,-1.0
186,noise+go,0,0.4985332489013672
187,noise+go,1,807.8677654266357
188,noise+go,0,-1.0
189,noise+go,0,0.4680156707763672
190,noise+go,0,0.49591064453125
191,noise+go,0,-1.0
192,noise+go,0,0.4944801330566406
193,noise+go,1,0.49686431884765625
194,noise+go,0,-1.0
195,noise+go,0,-1.0
196,noise+go,0,-1.0
197,noise+go,0,-1.0
198,noise+go,0,-1.0
199,noise+go,0,0.4992485046386719
200,noise+go,0,-1.0
201,noise+go,0,-1.0
202,noise+go,0,-1.0
203,noise+go,0,-1.0
204,noise+go,0,-1.0
205,noise+go,0,0.49805641174316406
206,noise+go,0,-1.0
207,noise+go,0,0.5261898040771484
208,noise+go,0,-1.0
