trial_index,mode,correct,ReactionTime
1,go,1,0.09987592697143555
2,go,1,0.009530305862426758
3,go,1,0.0
4,go,1,0.0005190372467041016
5,go,1,0.0
6,go,1,0.009448766708374023
7,go,1,0.010439157485961914
8,go,1,0.0
9,go,1,0.0
10,go,1,0.009714603424072266
11,go,1,0.0
12,go,1,0.010004997253417969
13,go,1,0.0
14,go,1,0.0
15,go,1,0.0
16,go,1,0.0
17,go,1,0.01000213623046875
18,go,1,0.0
19,go,1,0.0
20,go,1,0.009417295455932617
21,go,1,0.010035276412963867
22,go,1,0.010259628295898438
23,go,1,0.0
24,go,1,0.0
25,go,1,0.0
26,go,1,0.0
27,go,1,0.0
28,go,1,0.010074615478515625
29,go,1,0.0
30,go,1,0.0
31,no-go,0,1757525161.0714054
32,no-go,0,1757525162.7510898
33,no-go,0,1757525164.4706583
34,no-go,0,1757525166.11071
35,no-go,0,1757525167.9007318
36,no-go,0,1757525169.4708745
37,no-go,0,1757525171.2005637
38,no-go,0,1757525174.2005708
39,no-go,0,1757525175.930104
40,no-go,0,1757525177.6200988
41,no-go,1,0.0
42,no-go,0,1757525181.990038
43,no-go,0,1757525183.670222
44,no-go,0,1757525185.4698277
45,no-go,0,1757525187.2104197
46,no-go,0,1757525189.0103247
47,no-go,0,-1.0
48,no-go,0,1757525193.77959
49,no-go,0,-1.0
50,no-go,0,-1.0
51,no-go,0,-1.0
52,no-go,0,-1.0
53,no-go,0,-1.0
54,no-go,0,-1.0
55,no-go,0,1757525230.618645
56,no-go,0,-1.0
57,no-go,0,-1.0
58,go,0,-1.0
59,go,0,0.0
60,go,0,-1.0
61,go,0,-1.0
62,go,1,0.011052370071411133
63,go,1,0.0
64,go,1,0.010246992111206055
65,go,1,0.0
66,go,1,0.0
67,go,1,0.010367155075073242
68,go,1,0.0
69,go,1,0.0
70,go,1,0.010094165802001953
71,go,1,0.0
72,go,1,0.010137796401977539
73,go,1,0.0
74,no-go,0,1757525330.2158706
75,no-go,1,0.0
76,no-go,0,1757525334.6954064
77,no-go,0,1757525336.4854844
78,no-go,1,0.0
79,no-go,0,1757525341.6754286
80,no-go,0,1757525344.6957848
81,no-go,0,1757525346.4656136
82,no-go,1,0.0
83,no-go,0,1757525350.8547852
84,no-go,0,-1.0
85,no-go,0,1757525356.1148055
86,no-go,0,1757525357.905249
87,no-go,0,-1.0
88,no-go,0,1757525362.4745734
89,no-go,0,1757525364.0744815
90,no-go,0,1757525366.0545526
91,no-go,1,0.0
92,no-go,0,1757525370.5639768
93,no-go,0,1757525372.354555
94,no-go,0,1757525374.1238627
95,no-go,0,1757525376.0544522
96,no-go,0,-1.0
97,no-go,0,-1.0
98,no-go,0,-1.0
99,no-go,0,-1.0
100,no-go,0,-1.0
101,no-go,0,-1.0
102,no-go,0,1757525398.9338078
103,no-go,0,-1.0
104,go,0,-1.0
105,go,0,-1.0
106,go,0,-1.0
107,go,0,-1.0
108,go,0,-1.0
109,go,1,0.0
110,go,1,0.0
111,go,1,0.009818077087402344
112,go,1,0.009952545166015625
113,go,1,0.0
114,go,1,0.0
115,go,1,0.010335922241210938
116,go,0,0.0
117,go,1,0.0
118,go,1,0.0096435546875
119,go,1,0.0
120,go,1,0.0
121,go,1,0.010254859924316406
122,go,1,0.0
123,go,1,0.0
124,go,1,0.0
125,go,1,0.009921073913574219
126,go,1,0.04963326454162598
127,go,1,0.0
128,go,0,0.0
129,go,1,0.0
