trial_index,speed,coherence,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,25,0.2,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
2,25,0.2,270,left,262.93468475341797,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
3,25,0.2,90,left,242.9370880126953,0.010300874710083008,1,-214.0,35.29998779296875,-400.3013333333333,0.0
4,25,0.35,90,left,310.0142478942871,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
5,25,0.6,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
6,25,0.35,90,left,298.5975742340088,0.02678513526916504,1,-209.29998779296875,32.20001220703125,-400.3013333333333,0.0
7,25,0.35,90,left,352.6921272277832,0.010706901550292969,1,-209.20001220703125,18.9000244140625,-400.3013333333333,0.0
8,25,0.1,270,left,293.96653175354004,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
9,25,0.0,270,left,282.6683521270752,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
10,25,0.6,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
11,25,0.35,270,left,344.2387580871582,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
12,25,0.6,90,left,428.47585678100586,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
13,25,0.1,90,left,386.68298721313477,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
14,25,0.2,270,left,305.9523105621338,0.010001182556152344,1,-195.29998779296875,2.0,-400.3013333333333,0.0
15,25,0.1,270,left,292.6750183105469,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
16,25,0.35,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
17,25,0.1,90,left,431.0920238494873,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
