trial_index,mode,correct,reaction_time
1,noise,0,0.49591064453125
2,noise,0,-1.0
3,noise,0,0.4963874816894531
4,noise,0,0.4985332489013672
5,noise,1,-1.0
6,noise,0,-1.0
7,noise,0,-1.0
8,noise,0,-1.0
9,noise,0,1.4884471893310547
10,noise,0,-1.0
11,noise,0,0.49686431884765625
12,noise,0,0.5011558532714844
13,noise,0,-1.0
14,noise,0,-1.0
15,noise,0,-1.0
16,noise,0,-1.0
17,noise,1,-1.0
18,noise,0,0.4982948303222656
19,noise,0,-1.0
20,noise,0,2.6144981384277344
21,noise,1,-1.0
22,noise,0,0.39768218994140625
23,noise,0,-1.0
24,noise,0,0.49877166748046875
25,noise,1,-1.0
26,noise,1,-1.0
27,noise,1,-1.0
28,noise,1,-1.0
29,noise,0,-1.0
30,noise,0,-1.0
31,noise,0,-1.0
32,noise,0,-1.0
33,noise,0,-1.0
34,noise,1,-1.0
35,noise,0,0.49996376037597656
36,noise,1,-1.0
37,noise,1,-1.0
38,noise,1,-1.0
39,noise,1,-1.0
40,noise,1,-1.0
41,noise,1,-1.0
42,noise,0,0.4982948303222656
43,noise,1,-1.0
44,noise,1,-1.0
45,noise,1,-1.0
46,noise,1,-1.0
47,noise,1,-1.0
48,noise,1,-1.0
49,noise,1,-1.0
50,go,0,-1.0
51,go,1,-1.0
52,go,0,-1.0
53,go,0,-1.0
54,go,1,-1.0
55,go,1,-1.0
56,go,1,0.4513263702392578
57,go,1,-1.0
58,go,0,-1.0
59,go,1,-1.0
60,go,1,-1.0
61,go,1,-1.0
62,go,0,-1.0
63,go,1,-1.0
64,go,1,0.4322528839111328
65,go,0,-1.0
66,go,1,-1.0
67,go,1,0.5295276641845703
68,go,1,-1.0
69,go,1,-1.0
70,go,1,-1.0
