trial_index,trial_start_time,trial_start_tracker_time,speed,coherence,direction,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,saccade_start_x,saccade_start_y,stim_x,stim_y,fix_onset,fix_onset_tracker,stim_onset,stim_onset_tracker,stim_offset,stim_offset_tracker,saccade_onset,saccade_onset_tracker,fix_x,fix_y
2,1758916099.4347515,265922653.0,16,0.0,270,286.271333694458,0.005028963088989258,1,-178.70001220703125,142.10000610351562,-128.5999755859375,-105.10000610351562,-200.15066666666664,160.12053333333333,1758916099.4376705,265922860.0,1758916099.926132,265923145.0,1758916100.2225876,265923441.0,1758916100.2124033,265923431.0,0,0
3,1758916102.3669705,265925585.0,16,0.35,90,250.69212913513184,0.004782438278198242,1,-177.9000244140625,156.89999389648438,-82.9000244140625,-61.70001220703125,-200.15066666666664,160.12053333333333,1758916102.5476604,265925979.0,1758916103.0219853,265926240.0,1758916103.284427,265926503.0,1758916103.2726774,265926491.0,0,0
4,1758916105.2151968,265928434.0,16,0.6,270,294.13795471191406,0.004433870315551758,1,-226.4000244140625,161.20001220703125,-152.9000244140625,-90.10000610351562,-200.15066666666664,160.12053333333333,1758916105.4770842,265928909.0,1758916106.1383457,265929357.0,1758916106.4425552,265929661.0,1758916106.4324837,265929651.0,0,0
5,1758916108.5546746,265931773.0,16,0.1,90,239.02297019958496,0.005858182907104492,1,-175.79998779296875,176.70001220703125,-122.9000244140625,-127.39999389648438,-200.15066666666664,160.12053333333333,1758916109.3009648,265932737.0,1758916110.0433974,265933262.0,1758916110.2923043,265933511.0,1758916110.2824204,265933501.0,0,0
6,1758916112.7634597,265935982.0,16,0.35,270,217.3445224761963,0.004487514495849609,1,-180.29998779296875,147.60000610351562,-145.0,-115.29998779296875,-200.15066666666664,160.12053333333333,1758916112.9917061,265936415.0,1758916113.9150796,265937134.0,1758916114.144448,265937363.0,1758916114.132424,265937351.0,0,0
7,1758916116.5227087,265939741.0,16,0.1,90,253.94582748413086,0.005059719085693359,1,-176.0999755859375,160.29998779296875,-144.0999755859375,-134.10000610351562,-200.15066666666664,160.12053333333333,1758916116.845941,265940276.0,1758916117.788116,265941007.0,1758916118.0521338,265941270.0,1758916118.0420618,265941261.0,0,0
8,1758916120.330595,265943549.0,16,0.6,270,231.8861484527588,0.00595402717590332,1,-228.20001220703125,164.39999389648438,-124.29998779296875,-89.10000610351562,-200.15066666666664,160.12053333333333,1758916120.568568,265944004.0,1758916121.5097528,265944728.0,1758916121.7519777,265944971.0,1758916121.741639,265944960.0,0,0
9,1758916124.1017435,265947320.0,16,0.1,90,261.3499164581299,0.004468202590942383,1,-147.0,158.89999389648438,-35.4000244140625,-74.29998779296875,-200.15066666666664,160.12053333333333,1758916124.2322125,265947659.0,1758916125.0606966,265948279.0,1758916125.3321302,265948550.0,1758916125.3220465,265948540.0,0,0
10,1758916127.6088219,265950827.0,16,0.1,90,262.8345489501953,0.004927396774291992,1,-189.70001220703125,146.39999389648438,-102.9000244140625,-97.10000610351562,-200.15066666666664,160.12053333333333,1758916127.9050171,265951344.0,1758916128.5090756,265951721.0,1758916128.7813334,265952000.0,1758916128.7719102,265951990.0,0,0
11,1758916131.0948288,265954313.0,16,0.0,90,240.09442329406738,0.004964113235473633,1,-186.29998779296875,188.89999389648438,-81.70001220703125,-99.0,-200.15066666666664,160.12053333333333,1758916131.096846,265954521.0,1758916131.7120464,265954931.0,1758916131.9646494,265955183.0,1758916131.9521408,265955171.0,0,0
12,1758916134.2501962,265957467.0,16,0.0,90,255.5253505706787,0.005460023880004883,1,-207.20001220703125,167.29998779296875,-67.5999755859375,-83.79998779296875,-200.15066666666664,160.12053333333333,1758916134.4531646,265957874.0,1758916135.0155845,265958234.0,1758916135.281327,265958500.0,1758916135.2711098,265958490.0,0,0
13,1758916137.722173,265960941.0,16,0.35,270,209.7330093383789,0.004468679428100586,1,-181.70001220703125,145.79998779296875,-53.5,-78.5,-200.15066666666664,160.12053333333333,1758916138.0344443,265961471.0,1758916138.861471,265962080.0,1758916139.081355,265962300.0,1758916139.071204,265962290.0,0,0
14,1758916141.348877,265964567.0,16,0.6,270,205.71184158325195,0.004942178726196289,1,-211.5999755859375,148.29998779296875,-114.20001220703125,-104.5,-200.15066666666664,160.12053333333333,1758916141.5472138,265964966.0,1758916142.4853272,265965704.0,1758916142.701011,265965919.0,1758916142.691039,265965909.0,0,0
15,1758916145.0213954,265968240.0,16,0.0,90,231.01210594177246,0.005458354949951172,1,-188.0999755859375,167.79998779296875,-92.70001220703125,-102.10000610351562,-200.15066666666664,160.12053333333333,1758916145.3089728,265968746.0,1758916146.0600922,265969278.0,1758916146.30078,265969520.0,1758916146.2911043,265969509.0,0,0
16,1758916148.542225,265971761.0,16,0.2,270,231.81462287902832,0.00561213493347168,1,-186.0999755859375,146.70001220703125,-51.79998779296875,-79.89999389648438,-200.15066666666664,160.12053333333333,1758916148.9208932,265972359.0,1758916149.688792,265972907.0,1758916149.9307396,265973149.0,1758916149.9206066,265973139.0,0,0
