trial_index,speed,coherence,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,20,1.0,90,left,235.37087440490723,0.009686708450317383,1,-377.9000244140625,70.70001220703125,-400.3013333333333,0.0
2,20,0.8,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
3,12,1.0,90,left,227.03790664672852,0.009786367416381836,1,-263.5,62.70001220703125,-400.3013333333333,0.0
4,12,0.8,270,left,225.59881210327148,0.01017451286315918,1,-294.20001220703125,-13.5,-400.3013333333333,0.0
5,20,1.0,90,left,259.8743438720703,0.00997781753540039,1,-254.5999755859375,18.20001220703125,-400.3013333333333,0.0
6,20,0.8,270,left,239.23563957214355,0.010416030883789062,1,-304.0,1.70001220703125,-400.3013333333333,0.0
7,20,0.8,270,left,183.7918758392334,0.010248661041259766,1,-281.20001220703125,-5.79998779296875,-400.3013333333333,0.0
8,12,0.8,90,left,196.4435577392578,0.010051488876342773,1,-324.79998779296875,24.9000244140625,-400.3013333333333,0.0
9,20,1.0,90,left,190.8893585205078,0.01063847541809082,1,-212.79998779296875,-13.9000244140625,-400.3013333333333,0.0
10,20,0.8,270,left,183.09998512268066,0.06036210060119629,1,-342.70001220703125,-94.9000244140625,-400.3013333333333,0.0
11,12,1.0,270,left,208.5573673248291,0.009933710098266602,1,-319.70001220703125,-24.5,-400.3013333333333,0.0
12,12,0.8,270,left,233.0758571624756,0.0102691650390625,1,-324.0,0.0,-400.3013333333333,0.0
13,20,0.8,90,left,236.96303367614746,0.01012563705444336,1,-288.9000244140625,56.29998779296875,-400.3013333333333,0.0
14,12,1.0,270,left,192.7194595336914,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
15,12,1.0,270,left,305.54842948913574,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
16,20,1.0,90,left,222.71180152893066,0.009618759155273438,1,-279.5999755859375,44.600006103515625,-400.3013333333333,0.0
17,12,0.8,270,left,249.0518093109131,0.09985136985778809,1,-368.4000244140625,-90.9000244140625,-400.3013333333333,0.0
18,12,0.8,270,left,236.65452003479004,0.010532140731811523,1,-243.0999755859375,-13.5999755859375,-400.3013333333333,0.0
19,20,1.0,90,left,233.85262489318848,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
20,12,0.8,270,left,464.85304832458496,0.009896278381347656,1,-245.0,10.5,-400.3013333333333,0.0
21,12,0.8,270,left,415.55309295654297,0.009959697723388672,1,-272.0999755859375,-23.9000244140625,-400.3013333333333,0.0
22,20,1.0,90,left,234.34066772460938,0.009943723678588867,1,-238.79998779296875,48.600006103515625,-400.3013333333333,0.0
23,12,1.0,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
24,12,0.8,270,left,225.3131866455078,0.01005101203918457,1,-292.4000244140625,19.0,-400.3013333333333,0.0
25,12,1.0,270,left,261.5399360656738,0.050426483154296875,1,-322.70001220703125,-65.70001220703125,-400.3013333333333,0.0
26,12,1.0,90,left,215.39974212646484,0.010207176208496094,1,-205.0999755859375,3.0,-400.3013333333333,0.0
27,12,1.0,270,left,203.69458198547363,0.009721755981445312,1,-311.4000244140625,-13.5,-400.3013333333333,0.0
28,12,0.8,270,left,202.96621322631836,0.010093212127685547,1,-206.0999755859375,10.0,-400.3013333333333,0.0
29,12,1.0,270,left,208.25862884521484,0.09054017066955566,1,-338.5,-93.70001220703125,-400.3013333333333,0.0
30,12,1.0,90,left,220.2310562133789,0.010172367095947266,1,-282.5,43.5,-400.3013333333333,0.0
31,12,0.8,270,left,285.25614738464355,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
32,12,0.8,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
33,12,0.8,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
34,20,0.8,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
35,20,1.0,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
36,20,0.8,90,left,275.0523090362549,0.009897947311401367,1,-344.0,103.29998779296875,-400.3013333333333,0.0
37,12,0.8,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
38,20,0.8,90,left,243.5767650604248,0.05969595909118652,1,-404.70001220703125,-70.5,-400.3013333333333,0.0
39,20,1.0,270,left,343.7469005584717,0.010031461715698242,1,-279.79998779296875,-99.20001220703125,-400.3013333333333,0.0
40,20,1.0,270,left,193.62282752990723,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
41,20,1.0,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
42,12,0.8,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
43,20,1.0,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
44,20,1.0,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
45,12,1.0,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
46,12,0.8,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
