trial_index,trial_start_time,trial_start_tracker_time,speed,coherence,direction,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,saccade_start_x,saccade_start_y,stim_x,stim_y,fix_onset,fix_onset_tracker,stim_onset,stim_onset_tracker,stim_offset,stim_offset_tracker,saccade_onset,saccade_onset_tracker,fix_x,fix_y
1,1758916869.0774045,266692297.0,16,0.35,90,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
3,1758916890.4776316,266713697.0,16,0.2,90,289.7641658782959,0.0049974918365478516,1,-178.5999755859375,162.5,-101.70001220703125,-103.60000610351562,-200.15066666666664,160.12053333333333,1758916890.8338156,266714267.0,1758916891.3572016,266714577.0,1758916891.6567736,266714876.0,1758916891.6469657,266714867.0,0.0,0.0
4,1758916893.6052086,266716825.0,16,0.6,90,241.69516563415527,0.0052449703216552734,1,-167.79998779296875,193.89999389648438,-122.9000244140625,-121.10000610351562,-200.15066666666664,160.12053333333333,1758916893.77247,266717211.0,1758916894.3350434,266717554.0,1758916894.5864456,266717806.0,1758916894.5767386,266717796.0,0.0,0.0
5,1758916896.51711,266719737.0,16,0.1,90,230.40390014648438,0.0048978328704833984,1,-166.0999755859375,183.39999389648438,-81.79998779296875,-132.29998779296875,-200.15066666666664,160.12053333333333,1758916896.7370253,266720171.0,1758916897.6063483,266720826.0,1758916897.8465881,266721066.0,1758916897.8367522,266721056.0,0.0,0.0
6,1758916899.9770842,266723194.0,16,0.0,270,286.4856719970703,0.0054776668548583984,1,-120.79998779296875,100.89999389648438,-96.9000244140625,-78.10000610351562,-200.15066666666664,160.12053333333333,1758916900.2982316,266723738.0,1758916901.01968,266724239.0,1758916901.3161545,266724536.0,1758916901.3061657,266724526.0,0.0,0.0
7,1758916903.4636757,266726683.0,16,0.0,90,211.80224418640137,0.005465269088745117,1,-194.0999755859375,152.5,-149.4000244140625,-131.10000610351562,-200.15066666666664,160.12053333333333,1758916904.9630988,266728397.0,1758916905.8052278,266729025.0,1758916906.0308523,266729250.0,1758916906.01703,266729237.0,0.0,0.0
8,1758916908.2661169,266731485.0,16,0.1,90,294.9049472808838,0.005437374114990234,1,-145.9000244140625,165.0,-135.29998779296875,-113.70001220703125,-200.15066666666664,160.12053333333333,1758916908.4622514,266731888.0,1758916909.1312046,266732351.0,1758916909.4364111,266732656.0,1758916909.4261096,266732646.0,0.0,0.0
9,1758916911.5598774,266734779.0,16,0.35,90,216.9325351715088,0.005329132080078125,1,-166.5999755859375,170.89999389648438,-54.0,-71.20001220703125,-200.15066666666664,160.12053333333333,1758916911.7576404,266735193.0,1758916912.6402693,266735860.0,1758916912.8700724,266736089.0,1758916912.8572018,266736076.0,0.0,0.0
10,1758916915.146164,266738366.0,16,0.1,90,230.33380508422852,0.00425267219543457,1,-182.5,159.0,-162.29998779296875,-139.5,-200.15066666666664,160.12053333333333,1758916915.3866851,266738819.0,1758916916.2260716,266739446.0,1758916916.4663575,266739686.0,1758916916.4564054,266739676.0,0.0,0.0
11,1758916918.6630523,266741882.0,16,0.0,90,214.04123306274414,0.00542902946472168,1,-181.79998779296875,159.20001220703125,-90.20001220703125,-91.39999389648438,-200.15066666666664,160.12053333333333,1758916918.6680086,266742096.0,1758916919.2820358,266742502.0,1758916919.5059965,266742725.0,1758916919.496077,266742715.0,0.0,0.0
12,1758916921.8523881,266745072.0,16,0.6,90,191.08200073242188,0.0054781436920166016,1,-157.20001220703125,194.0,-105.4000244140625,-124.60000610351562,-200.15066666666664,160.12053333333333,1758916922.0537028,266745488.0,1758916923.0045905,266746224.0,1758916923.2059135,266746425.0,1758916923.1956725,266746415.0,0.0,0.0
