trial_index,trial_start_time,trial_start_tracker_time,speed,coherence,direction,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,saccade_start_x,saccade_start_y,stim_x,stim_y,fix_onset,fix_onset_tracker,stim_onset,stim_onset_tracker,stim_offset,stim_offset_tracker,saccade_onset,saccade_onset_tracker
1,1758918851.6126945,268674835.0,16,0.0,90,6.2847137451171875,134.3135910154395,1,-332.92220687260317,-60.577036506958876,417.699951171875,570.0,-200.15066666666664,160.12053333333333,-1,-1,1758918852.1461453,268675368.0,-1,-1,1758918852.15243,268675374.0
2,1758918854.4038885,268677626.0,16,0.2,90,4.818916320800781,92.2174818149326,1,-259.13960938371474,163.06497516764605,105.199951171875,473.699951171875,-200.15066666666664,160.12053333333333,-1,-1,1758918854.931588,268678153.0,-1,-1,1758918854.9364069,268678158.0
3,1758918857.1837769,268680406.0,16,0.6,90,6.459712982177734,70.2518494444338,1,-247.1407202428115,270.113752132053,132.699951171875,688.0999755859375,-200.15066666666664,160.12053333333333,-1,-1,1758918857.7176368,268680939.0,-1,-1,1758918857.7240965,268680946.0
