trial_index,speed,coherence,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,25,0.35,90,left,266.664981842041,0.0697634220123291,1,-383.5999755859375,23.29998779296875,-400.3013333333333,0.0
2,25,0.0,270,left,252.98452377319336,0.0699915885925293,1,-381.29998779296875,-23.5999755859375,-400.3013333333333,0.0
3,25,0.0,270,left,287.90974617004395,0.06997394561767578,1,-398.29998779296875,3.5,-400.3013333333333,0.0
4,25,0.2,270,left,269.2546844482422,0.06971335411071777,1,-403.0999755859375,-3.5999755859375,-400.3013333333333,0.0
5,25,0.2,90,left,276.6432762145996,0.07002639770507812,1,-395.0,15.0,-400.3013333333333,0.0
6,25,0.35,90,left,354.3133735656738,0.06985116004943848,1,-389.0999755859375,27.0999755859375,-400.3013333333333,0.0
7,25,0.6,270,left,327.08048820495605,0.06992220878601074,1,-355.70001220703125,-43.5999755859375,-400.3013333333333,0.0
8,25,0.35,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
9,25,0.2,270,left,291.92328453063965,0.06987667083740234,1,-380.0999755859375,5.29998779296875,-400.3013333333333,0.0
10,25,0.1,270,left,293.9717769622803,0.06971502304077148,1,-374.29998779296875,-25.0,-400.3013333333333,0.0
11,25,0.0,90,left,289.1969680786133,0.06939864158630371,1,-392.5999755859375,16.4000244140625,-400.3013333333333,0.0
12,25,0.0,90,left,346.0688591003418,0.06944465637207031,1,-384.79998779296875,18.5,-400.3013333333333,0.0
13,25,0.1,90,left,248.52776527404785,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
14,25,0.1,270,left,269.12951469421387,0.07000446319580078,1,-390.79998779296875,-10.20001220703125,-400.3013333333333,0.0
15,25,0.35,270,left,287.416934967041,0.06955552101135254,1,-388.29998779296875,-24.0999755859375,-400.3013333333333,0.0
16,25,0.1,90,left,331.99071884155273,0.06960844993591309,1,-378.0999755859375,19.70001220703125,-400.3013333333333,0.0
17,25,0.35,90,left,285.8257293701172,0.06934547424316406,1,-383.5,40.0,-400.3013333333333,0.0
18,25,0.6,270,left,290.99297523498535,0.07011795043945312,1,-342.20001220703125,-47.4000244140625,-400.3013333333333,0.0
19,25,0.1,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
20,25,0.35,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
21,25,0.6,270,left,235.9917163848877,0.0697484016418457,1,-384.29998779296875,-66.0,-400.3013333333333,0.0
22,25,0.6,90,left,265.7513618469238,0.07015156745910645,1,-397.20001220703125,19.0,-400.3013333333333,0.0
23,25,0.2,270,left,276.16167068481445,0.07020998001098633,1,-387.4000244140625,-20.29998779296875,-400.3013333333333,0.0
24,25,0.6,270,left,324.4197368621826,0.07014989852905273,1,-417.4000244140625,-54.4000244140625,-400.3013333333333,0.0
25,25,0.0,90,left,266.21055603027344,0.07024693489074707,1,-369.9000244140625,-25.79998779296875,-400.3013333333333,0.0
26,25,0.0,90,left,239.70961570739746,0.06958389282226562,1,-368.5,-21.5,-400.3013333333333,0.0
27,25,0.35,270,left,284.196138381958,0.06999516487121582,1,-351.0,-30.9000244140625,-400.3013333333333,0.0
