trial_index,speed,coherence,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,25,0.16,270,left,427.06823348999023,0.06000185012817383,1,-446.4000244140625,34.29998779296875,-400.3013333333333,0.0
2,25,0.32,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
3,25,1.0,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
4,25,1.0,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
5,25,0.32,270,left,35.55560111999512,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
6,25,1.0,90,left,388.1692886352539,0.059844970703125,1,-382.0,93.89999389648438,-400.3013333333333,0.0
7,25,1.0,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
8,25,0.16,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
9,25,0.64,90,left,452.47483253479004,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
10,25,1.0,90,left,404.4473171234131,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
11,25,0.32,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
12,25,0.64,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
13,25,0.64,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
14,25,1.0,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
15,25,0.16,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
16,25,1.0,90,left,345.6685543060303,0.060126543045043945,1,-388.9000244140625,77.5,-400.3013333333333,0.0
17,25,0.16,270,left,463.8185501098633,0.05979323387145996,1,-396.9000244140625,22.79998779296875,-400.3013333333333,0.0
18,25,0.64,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
19,25,0.16,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
20,25,0.16,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
21,25,0.32,90,left,308.86149406433105,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
22,25,0.64,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
23,25,0.64,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
24,25,0.16,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
25,25,1.0,270,left,432.04593658447266,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
26,25,0.64,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
27,25,0.32,270,left,392.0102119445801,0.059740304946899414,1,-379.9000244140625,35.0,-400.3013333333333,0.0
