trial_index,speed,coherence,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,20,1,270,left,234.14039611816406,0.009919881820678711,1,-313.70001220703125,-31.4000244140625,-400.3013333333333,0.0
2,12,1,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
3,12,1,90,left,0.0,0.007689237594604492,1,-227.0,66.29998779296875,-400.3013333333333,0.0
4,20,1,90,left,268.81980895996094,0.009755849838256836,1,-306.70001220703125,80.89999389648438,-400.3013333333333,0.0
5,12,1,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
6,20,1,90,left,265.0942802429199,0.009879589080810547,1,-266.5999755859375,52.5,-400.3013333333333,0.0
7,20,1,90,left,288.96284103393555,0.009740829467773438,1,-321.79998779296875,22.79998779296875,-400.3013333333333,0.0
8,20,1,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
9,12,1,90,left,280.3933620452881,0.010149717330932617,1,-322.20001220703125,14.4000244140625,-400.3013333333333,0.0
10,20,1,90,left,270.0691223144531,0.009981632232666016,1,-300.79998779296875,23.79998779296875,-400.3013333333333,0.0
11,12,1,270,left,326.7693519592285,0.00968027114868164,1,-254.20001220703125,-25.20001220703125,-400.3013333333333,0.0
12,12,1,90,left,251.93285942077637,0.010023832321166992,1,-260.9000244140625,26.5,-400.3013333333333,0.0
13,20,1,90,left,316.0398006439209,0.00973367691040039,1,-299.70001220703125,10.5999755859375,-400.3013333333333,0.0
14,12,1,90,left,247.0686435699463,0.029587268829345703,1,-329.5,-21.0999755859375,-400.3013333333333,0.0
15,12,1,90,left,207.30280876159668,0.050018310546875,1,-328.4000244140625,-38.70001220703125,-400.3013333333333,0.0
16,12,1,90,left,390.32864570617676,0.009662389755249023,1,-271.70001220703125,29.0,-400.3013333333333,0.0
17,20,1,90,left,372.9372024536133,0.009814262390136719,1,-327.9000244140625,103.89999389648438,-400.3013333333333,0.0
18,12,1,90,left,428.4675121307373,0.009955644607543945,1,-249.20001220703125,17.20001220703125,-400.3013333333333,0.0
19,20,1,90,left,226.58681869506836,0.009980916976928711,1,-348.4000244140625,43.70001220703125,-400.3013333333333,0.0
20,20,1,270,left,272.02582359313965,0.010341644287109375,1,-298.4000244140625,-26.5999755859375,-400.3013333333333,0.0
21,20,1,90,left,216.25328063964844,0.009746789932250977,1,-337.0,24.29998779296875,-400.3013333333333,0.0
22,12,1,90,left,218.31893920898438,0.010224342346191406,1,-340.20001220703125,2.70001220703125,-400.3013333333333,0.0
23,20,1,270,left,227.84781455993652,0.04968833923339844,1,-339.5999755859375,-135.29998779296875,-400.3013333333333,0.0
24,20,1,90,left,256.7753791809082,0.010293722152709961,1,-318.5,8.0,-400.3013333333333,0.0
25,12,1,270,left,181.1850070953369,0.00994253158569336,1,-249.29998779296875,14.4000244140625,-400.3013333333333,0.0
26,12,1,270,left,203.8707733154297,0.03972506523132324,1,-316.5999755859375,-126.79998779296875,-400.3013333333333,0.0
27,12,1,90,left,225.5086898803711,0.009381532669067383,1,-298.29998779296875,32.79998779296875,-400.3013333333333,0.0
28,12,1,270,left,239.6986484527588,0.010087251663208008,1,-309.5,-16.70001220703125,-400.3013333333333,0.0
29,20,1,270,left,231.7032814025879,0.009996891021728516,1,-221.9000244140625,-14.79998779296875,-400.3013333333333,0.0
30,12,1,90,left,211.35544776916504,0.01021265983581543,1,-303.29998779296875,47.20001220703125,-400.3013333333333,0.0
31,12,1,270,left,282.9625606536865,0.0101165771484375,1,-286.5,-38.70001220703125,-400.3013333333333,0.0
32,20,1,270,left,191.0269260406494,0.009656190872192383,1,-311.29998779296875,-14.20001220703125,-400.3013333333333,0.0
33,20,1,90,left,276.9041061401367,0.029899120330810547,1,-295.70001220703125,-168.20001220703125,-400.3013333333333,0.0
34,20,1,90,left,246.95301055908203,0.010076284408569336,1,-316.79998779296875,12.20001220703125,-400.3013333333333,0.0
35,12,1,90,left,278.1345844268799,0.009771585464477539,1,-265.0999755859375,43.29998779296875,-400.3013333333333,0.0
36,20,1,270,left,211.43841743469238,0.00999140739440918,1,-288.5,-33.9000244140625,-400.3013333333333,0.0
37,12,1,270,left,213.8981819152832,0.010075569152832031,1,-275.0,15.29998779296875,-400.3013333333333,0.0
38,12,1,270,left,95.20530700683594,0.009748458862304688,1,-238.20001220703125,5.9000244140625,-400.3013333333333,0.0
39,20,1,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
40,12,1,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
41,12,1,270,left,244.32754516601562,0.010152578353881836,1,-284.5,-27.4000244140625,-400.3013333333333,0.0
42,20,1,90,left,215.49487113952637,0.00982356071472168,1,-278.5,60.70001220703125,-400.3013333333333,0.0
43,20,1,270,left,335.1266384124756,0.009818792343139648,1,-292.5999755859375,-34.5999755859375,-400.3013333333333,0.0
44,20,1,270,left,430.5863380432129,0.19999313354492188,1,-205.20001220703125,-75.9000244140625,-400.3013333333333,0.0
45,20,1,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
46,12,1,90,left,0.0,0.012843608856201172,1,-403.29998779296875,54.100006103515625,-400.3013333333333,0.0
47,20,1,270,left,279.79326248168945,0.010329008102416992,1,-241.0999755859375,0.29998779296875,-400.3013333333333,0.0
48,12,1,270,left,230.01885414123535,0.009918451309204102,1,-282.0999755859375,-39.79998779296875,-400.3013333333333,0.0
49,20,1,90,left,261.8896961212158,0.05983376502990723,1,-370.0,-107.20001220703125,-400.3013333333333,0.0
50,12,1,90,left,214.3709659576416,0.04948925971984863,1,-322.79998779296875,-66.29998779296875,-400.3013333333333,0.0
51,12,1,90,left,215.99078178405762,0.03985285758972168,1,-387.5,33.20001220703125,-400.3013333333333,0.0
52,20,1,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
53,12,1,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
54,20,1,270,left,343.9173698425293,0.40020322799682617,1,-358.5,-87.20001220703125,-400.3013333333333,0.0
55,12,1,90,left,338.132381439209,0.010167598724365234,1,-298.29998779296875,46.0,-400.3013333333333,0.0
56,20,1,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
57,12,1,90,left,228.6372184753418,0.06952071189880371,1,-375.70001220703125,-77.0999755859375,-400.3013333333333,0.0
58,20,1,270,left,310.00328063964844,0.026288270950317383,1,-352.79998779296875,-40.0999755859375,-400.3013333333333,0.0
59,12,1,270,left,323.5900402069092,0.009899139404296875,1,-322.5,-34.9000244140625,-400.3013333333333,0.0
60,20,1,90,left,202.1775245666504,0.010246753692626953,1,-239.70001220703125,28.70001220703125,-400.3013333333333,0.0
61,12,1,270,left,305.17101287841797,0.009918451309204102,1,-269.0,-46.9000244140625,-400.3013333333333,0.0
62,12,1,270,left,214.9057388305664,0.009421825408935547,1,-274.0,-46.9000244140625,-400.3013333333333,0.0
63,20,1,90,left,200.44183731079102,0.040284156799316406,1,-345.4000244140625,-67.9000244140625,-400.3013333333333,0.0
64,20,1,90,left,269.7288990020752,0.04974555969238281,1,-303.5999755859375,-6.29998779296875,-400.3013333333333,0.0
65,20,1,90,left,234.33494567871094,0.009858369827270508,1,-240.29998779296875,20.5999755859375,-400.3013333333333,0.0
66,20,1,90,left,208.50133895874023,0.010225534439086914,1,-259.29998779296875,68.89999389648438,-400.3013333333333,0.0
67,20,1,90,left,205.9926986694336,0.009762763977050781,1,-299.79998779296875,41.20001220703125,-400.3013333333333,0.0
68,12,1,90,left,57.050228118896484,0.009472846984863281,1,-321.4000244140625,7.20001220703125,-400.3013333333333,0.0
69,12,1,90,left,224.34425354003906,0.010085821151733398,1,-261.4000244140625,69.89999389648438,-400.3013333333333,0.0
70,20,1,90,left,203.15980911254883,0.009546995162963867,1,-284.70001220703125,1.29998779296875,-400.3013333333333,0.0
71,12,1,90,left,0.0,0.01589512825012207,1,-214.79998779296875,19.0999755859375,-400.3013333333333,0.0
72,20,1,90,left,211.3666534423828,0.010592222213745117,1,-205.9000244140625,17.0999755859375,-400.3013333333333,0.0
73,20,1,270,left,301.2399673461914,0.009649991989135742,1,-250.5,-40.5999755859375,-400.3013333333333,0.0
74,20,1,270,left,211.94171905517578,0.009547710418701172,1,-296.4000244140625,-32.0,-400.3013333333333,0.0
75,12,1,90,left,258.2385540008545,0.009728670120239258,1,-248.20001220703125,-0.5,-400.3013333333333,0.0
76,20,1,270,left,277.0383358001709,0.020292997360229492,1,-206.0,-20.9000244140625,-400.3013333333333,0.0
77,20,1,90,left,253.1583309173584,0.009958505630493164,1,-286.5999755859375,54.79998779296875,-400.3013333333333,0.0
78,20,1,270,left,233.9954376220703,0.009961128234863281,1,-286.0999755859375,-61.0,-400.3013333333333,0.0
79,20,1,270,left,211.0598087310791,0.09986186027526855,1,-276.70001220703125,-123.70001220703125,-400.3013333333333,0.0
80,12,1,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
81,12,1,270,left,249.87220764160156,0.009612798690795898,1,-321.0999755859375,-43.0,-400.3013333333333,0.0
82,12,1,90,left,246.06609344482422,0.00988006591796875,1,-309.5,67.39999389648438,-400.3013333333333,0.0
83,12,1,270,left,237.9899024963379,0.2602503299713135,1,-374.79998779296875,-159.5,-400.3013333333333,0.0
84,12,1,90,left,239.54010009765625,0.07941699028015137,1,-326.5,-70.0,-400.3013333333333,0.0
85,12,1,270,left,203.0050754547119,0.009917497634887695,1,-263.70001220703125,-55.4000244140625,-400.3013333333333,0.0
86,12,1,90,left,247.92218208312988,0.009629011154174805,1,-270.79998779296875,62.5,-400.3013333333333,0.0
87,20,1,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
88,12,1,90,left,160.79235076904297,0.07993865013122559,1,-313.70001220703125,-20.0999755859375,-400.3013333333333,0.0
89,12,1,90,left,264.3704414367676,0.05009818077087402,1,-403.70001220703125,-36.0,-400.3013333333333,0.0
90,12,1,90,left,245.83864212036133,0.04958748817443848,1,-284.5,-91.5,-400.3013333333333,0.0
