trial_index,mode,correct,reaction_time
1,noise,0,143.643
2,noise,0,1802.577
3,noise,0,99.89
4,noise,1,-1.0
5,noise,1,-1.0
6,noise,0,-1.0
7,noise,0,257.915
8,noise,0,125.892
9,noise,1,-1.0
10,noise,1,-1.0
11,noise,0,231.591
12,noise,0,290.231
13,noise,0,156.259
14,noise,0,227.931
15,noise,0,230.412
16,noise,1,-1.0
17,noise,1,-1.0
18,noise,1,-1.0
19,noise,1,-1.0
20,noise,1,-1.0
21,go,1,310.16
22,go,0,-1.0
23,go,1,187.339
24,go,0,-1.0
25,go,0,-1.0
26,go,1,213.228
27,go,1,292.243
28,go,1,227.147
29,go,1,256.49
30,go,1,250.01
31,noise,1,-1.0
32,noise,1,-1.0
33,noise,0,315.461
34,noise,0,208.405
35,noise,0,147.835
36,noise,1,-1.0
37,noise,1,-1.0
38,noise,0,248.432
39,noise,0,258.107
40,noise,0,319.205
41,noise,0,197.727
42,noise,0,210.659
43,noise,0,303.797
44,noise,0,180.433
45,noise,0,246.232
46,noise,0,396.407
47,noise,0,235.173
48,noise,1,-1.0
49,noise,1,-1.0
50,noise,0,277.418
51,noise,0,399.778
52,noise,1,-1.0
53,noise,1,-1.0
54,noise,1,-1.0
55,noise,1,-1.0
56,noise,1,-1.0
57,noise,1,-1.0
58,noise,1,-1.0
59,noise,1,-1.0
60,noise,1,-1.0
61,noise,1,-1.0
62,noise,1,-1.0
63,noise,1,-1.0
64,noise+go,0,-1.0
65,noise+go,0,173.156
66,noise+go,0,-1.0
67,noise+go,0,-1.0
68,noise+go,0,237.419
69,noise+go,0,-1.0
70,noise+go,0,-1.0
71,noise+go,0,-1.0
72,noise+go,0,-1.0
73,noise+go,0,-1.0
74,noise+go,0,242.595
75,noise+go,0,-1.0
76,noise+go,0,-1.0
77,noise+go,0,-1.0
78,noise+go,0,-1.0
