trial_index,mode,correct,reaction_time
1,noise,0,446.788
2,noise,1,-1.0
3,noise,0,97.958
4,noise,0,180.387
5,noise,1,-1.0
6,noise,1,-1.0
7,noise,1,-1.0
8,noise,0,199.996
9,noise,0,432.669
10,noise,0,149.863
11,noise,1,-1.0
12,noise,1,-1.0
13,noise,1,-1.0
14,noise,1,-1.0
15,go,1,-1.0
16,go,1,290.032
17,go,1,248.317
18,go,0,-1.0
19,go,1,212.432
20,go,1,228.63
21,go,1,170.145
22,go,1,126.458
23,noise,1,167.763
24,noise,0,158.063
25,noise,0,270.113
26,noise,1,-1.0
27,noise,0,239.275
28,noise,0,-1.0
29,noise,0,97.573
