trial_index,trial_start_time,trial_start_tracker_time,speed,coherence,direction,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,saccade_start_x,saccade_start_y,stim_x,stim_y,fix_onset,fix_onset_tracker,stim_onset,stim_onset_tracker,stim_offset,stim_offset_tracker,saccade_onset,saccade_onset_tracker,fix_x,fix_y
1,1758919480.175414,68532.0,16,0.35,270,227.96273231506348,0.005008220672607422,1,-231.4000244140625,215.29998779296875,-133.4000244140625,-131.20001220703125,-200.15066666666664,160.12053333333333,1758919480.4502633,69028.0,1758919481.4144435,69772.0,1758919481.6525342,70010.0,1758919481.6424062,69999.0,0.0,0.0
2,1758919483.761146,72118.0,16,0.2,270,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758919484.669737,73227.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
3,1758919486.2730906,74629.0,16,0.1,270,235.32557487487793,0.005597829818725586,1,-206.9000244140625,156.89999389648438,-82.79998779296875,-82.5,-200.15066666666664,160.12053333333333,1758919487.0873227,75646.0,1758919487.576864,75934.0,1758919487.8222134,76179.0,1758919487.8121896,76169.0,0.0,0.0
4,1758919489.8234537,78181.0,16,0.2,270,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758919490.283054,78844.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
5,1758919492.017513,80375.0,16,0.1,270,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
6,1758919498.46069,86818.0,16,0.1,90,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758919498.842442,87413.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
7,1758919500.5914476,88949.0,16,0.6,270,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758919503.0572157,91626.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
8,1758919504.7776625,93135.0,16,0.2,90,266.7887210845947,-1.0,0,-1.0,-1.0,-128.9000244140625,226.29998779296875,-200.15066666666664,160.12053333333333,1758919506.1266506,94692.0,1758919506.6551917,95012.0,-1.0,-1.0,1758919506.9219804,95279.0,0.0,0.0
9,1758919508.6199255,96977.0,16,0.0,270,650.1204967498779,0.014383077621459961,1,-193.0999755859375,175.29998779296875,-193.20001220703125,-177.5,-200.15066666666664,160.12053333333333,1758919508.8222766,97381.0,1758919509.369405,97726.0,1758919510.0408227,98397.0,1758919510.0195255,98376.0,0.0,0.0
10,1758919512.174018,100531.0,16,0.0,90,244.03929710388184,0.00543522834777832,1,-224.4000244140625,110.20001220703125,-156.5999755859375,-76.60000610351562,-200.15066666666664,160.12053333333333,1758919512.3187873,100894.0,1758919512.8473024,101204.0,1758919513.101265,101456.0,1758919513.0913417,101446.0,0.0,0.0
11,1758919515.3608594,103718.0,16,0.2,90,238.6486530303955,0.004930019378662109,1,-169.9000244140625,162.20001220703125,-82.4000244140625,-86.5,-200.15066666666664,160.12053333333333,1758919515.720576,104297.0,1758919516.3926349,104750.0,1758919516.6412036,104998.0,1758919516.6312835,104988.0,0.0,0.0
12,1758919518.8911698,107248.0,16,0.35,90,318.8819885253906,0.005369663238525391,1,-98.29998779296875,205.89999389648438,-39.0,-129.89999389648438,-200.15066666666664,160.12053333333333,1758919519.5273192,108095.0,1758919520.332291,108690.0,1758919520.6610484,109018.0,1758919520.6511729,109008.0,0.0,0.0
