trial_index,spatial_frequency,temporal_frequency,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,0.5,2,270,left,246.22750282287598,0.009784460067749023,1,-339.5999755859375,-10.9000244140625,-400.3013333333333,0.0
2,0.5,5,270,left,215.41452407836914,0.009911775588989258,1,-394.20001220703125,-17.0,-400.3013333333333,0.0
3,0.5,5,270,left,355.89051246643066,0.010005950927734375,1,-361.79998779296875,-0.9000244140625,-400.3013333333333,0.0
4,0.5,2,270,left,216.10784530639648,0.0094757080078125,1,-387.79998779296875,-10.5999755859375,-400.3013333333333,0.0
5,0.5,5,90,left,317.96717643737793,0.010089635848999023,1,-383.79998779296875,13.70001220703125,-400.3013333333333,0.0
6,0.5,2,90,left,202.53539085388184,0.009943008422851562,1,-344.29998779296875,19.0,-400.3013333333333,0.0
7,0.5,2,90,left,246.88720703125,0.009500503540039062,1,-335.79998779296875,39.29998779296875,-400.3013333333333,0.0
8,0.5,5,90,left,273.7593650817871,0.009975433349609375,1,-312.79998779296875,0.0,-400.3013333333333,0.0
9,0.5,5,90,left,255.37919998168945,0.010296106338500977,1,-375.70001220703125,15.5999755859375,-400.3013333333333,0.0
10,0.5,2,90,left,369.2607879638672,0.009920358657836914,1,-353.5999755859375,41.5,-400.3013333333333,0.0
11,0.5,5,270,left,314.8841857910156,0.010573863983154297,1,-358.0,15.79998779296875,-400.3013333333333,0.0
12,0.5,5,90,left,221.59719467163086,0.00978398323059082,1,-373.0,0.9000244140625,-400.3013333333333,0.0
13,0.5,2,270,left,314.79620933532715,0.00993037223815918,1,-354.5,43.29998779296875,-400.3013333333333,0.0
14,0.5,2,270,left,278.12671661376953,0.01014852523803711,1,-378.5999755859375,25.29998779296875,-400.3013333333333,0.0
15,0.5,5,270,left,280.104398727417,0.010097742080688477,1,-383.0,-9.0999755859375,-400.3013333333333,0.0
16,0.5,5,90,left,262.76350021362305,0.010071277618408203,1,-338.70001220703125,9.4000244140625,-400.3013333333333,0.0
17,0.5,5,270,left,338.32550048828125,0.009625673294067383,1,-356.4000244140625,-15.0999755859375,-400.3013333333333,0.0
18,0.5,5,270,left,259.3188285827637,0.010442972183227539,1,-335.9000244140625,-0.5,-400.3013333333333,0.0
19,0.5,5,90,left,358.8426113128662,0.009482145309448242,1,-364.0,36.0,-400.3013333333333,0.0
20,0.5,5,270,left,261.63244247436523,0.010020971298217773,1,-324.5999755859375,-0.4000244140625,-400.3013333333333,0.0
21,0.5,2,270,left,202.21495628356934,0.00977945327758789,1,-385.4000244140625,32.100006103515625,-400.3013333333333,0.0
22,0.5,2,90,left,282.315731048584,0.009810209274291992,1,-344.0999755859375,29.100006103515625,-400.3013333333333,0.0
23,0.5,2,90,left,280.45201301574707,0.010203123092651367,1,-375.20001220703125,33.100006103515625,-400.3013333333333,0.0
24,0.5,5,270,left,224.34210777282715,0.009867191314697266,1,-365.4000244140625,-7.0,-400.3013333333333,0.0
25,0.5,2,270,left,335.0658416748047,0.009917497634887695,1,-359.5999755859375,-35.4000244140625,-400.3013333333333,0.0
26,0.5,2,90,left,409.26313400268555,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
27,0.5,2,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
