trial_index,trial_start_time,trial_start_tracker_time,speed,coherence,direction,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,saccade_start_x,saccade_start_y,stim_x,stim_y,fix_onset,fix_onset_tracker,stim_onset,stim_onset_tracker,stim_offset,stim_offset_tracker,saccade_onset,saccade_onset_tracker
1,1758919009.765568,268832987.0,16,0.6,90,6.214618682861328,82.41648631914363,1,-346.072800410237,145.4003444306001,1304.0,658.699951171875,-200.15066666666664,160.12053333333333,-1,-1,1758919010.3080914,268833530.0,-1,-1,1758919010.314306,268833536.0
2,1758919012.5093455,268835731.0,16,0.0,90,4.630804061889648,132.1077833680166,1,-329.29948615484193,2.968464680869232,-47.5,544.5,-200.15066666666664,160.12053333333333,-1,-1,1758919013.0586553,268836281.0,-1,-1,1758919013.063286,268836285.0
3,1758919015.2434876,268838465.0,16,0.2,270,5.31458854675293,108.50746083391576,1,-324.446820178596,169.9903515323426,380.5999755859375,306.0999755859375,-200.15066666666664,160.12053333333333,-1,-1,1758919015.7776513,268839000.0,-1,-1,1758919015.782966,268839005.0
4,1758919018.0226507,268841245.0,16,0.2,90,8.447647094726562,143.4372292779926,1,-293.17564471243486,-13.43369760126339,281.300048828125,671.5,-200.15066666666664,160.12053333333333,-1,-1,1758919018.5641086,268841786.0,-1,-1,1758919018.5725563,268841794.0
5,1758919020.8966506,268844119.0,16,0.6,270,6.071329116821289,85.46996007156744,1,-355.50283341228317,263.15616081920075,258.800048828125,416.5999755859375,-200.15066666666664,160.12053333333333,-1,-1,1758919021.4326377,268844655.0,-1,-1,1758919021.438709,268844661.0
6,1758919023.8105383,268847032.0,16,0.2,270,5.176067352294922,106.76294916819616,1,-278.8824327187854,182.35587412878448,441.0,568.5999755859375,-200.15066666666664,160.12053333333333,-1,-1,1758919024.351168,268847573.0,-1,-1,1758919024.356344,268847578.0
7,1758919026.8075469,268850029.0,16,0.35,90,5.490779876708984,92.47058917589098,1,-167.04008024499234,21.926591737748907,356.9000244140625,133.79998779296875,-200.15066666666664,160.12053333333333,-1,-1,1758919027.3372982,268850559.0,-1,-1,1758919027.342789,268850564.0
8,1758919029.7499213,268852972.0,16,0.6,90,6.719827651977539,120.45911871167363,1,-393.67890367114853,101.93463864700665,579.0999755859375,368.300048828125,-200.15066666666664,160.12053333333333,-1,-1,1758919030.2894564,268853511.0,-1,-1,1758919030.2961762,268853518.0
9,1758919032.7776387,268856000.0,16,0.35,90,7.565498352050781,42.59166415284243,1,-342.45811589968196,46.456470428849855,448.699951171875,231.70001220703125,-200.15066666666664,160.12053333333333,-1,-1,1758919033.3257813,268856548.0,-1,-1,1758919033.3333468,268856555.0
