trial_index,speed,coherence,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,25,0.35,270,left,284.03162956237793,0.0704338550567627,1,-346.79998779296875,-82.5999755859375,-400.3013333333333,0.0
2,25,0.35,270,left,547.3406314849854,0.06968212127685547,1,-316.79998779296875,-31.0,-400.3013333333333,0.0
3,25,0.2,270,left,271.85869216918945,0.06975007057189941,1,-338.70001220703125,-19.29998779296875,-400.3013333333333,0.0
4,25,0.6,90,left,306.0588836669922,0.06998038291931152,1,-379.29998779296875,24.5,-400.3013333333333,0.0
5,25,0.1,270,left,342.2582149505615,0.07003426551818848,1,-345.5,-7.5999755859375,-400.3013333333333,0.0
6,25,0.6,90,left,265.93470573425293,0.07005071640014648,1,-373.9000244140625,6.9000244140625,-400.3013333333333,0.0
7,25,0.6,90,left,268.46957206726074,0.07020068168640137,1,-379.5999755859375,36.600006103515625,-400.3013333333333,0.0
8,25,0.0,270,left,240.72265625,0.0697777271270752,1,-341.29998779296875,51.20001220703125,-400.3013333333333,0.0
9,25,0.1,270,left,254.9138069152832,0.069610595703125,1,-362.29998779296875,-12.0,-400.3013333333333,0.0
10,25,0.35,90,left,245.70441246032715,0.0702817440032959,1,-370.0,40.5,-400.3013333333333,0.0
11,25,0.35,270,left,224.2741584777832,0.06981396675109863,1,-368.70001220703125,-23.4000244140625,-400.3013333333333,0.0
12,25,0.0,270,left,281.19945526123047,0.06970882415771484,1,-414.4000244140625,-12.9000244140625,-400.3013333333333,0.0
13,25,0.0,270,left,318.2384967803955,0.07059121131896973,1,-359.0999755859375,14.79998779296875,-400.3013333333333,0.0
14,25,0.2,270,left,336.17568016052246,0.06998825073242188,1,-353.5999755859375,-30.70001220703125,-400.3013333333333,0.0
15,25,0.2,90,left,304.6543598175049,0.07002878189086914,1,-400.4000244140625,7.5999755859375,-400.3013333333333,0.0
16,25,0.6,90,left,289.125919342041,0.07090425491333008,1,-359.4000244140625,17.79998779296875,-400.3013333333333,0.0
17,25,0.35,270,left,329.8375606536865,0.06964540481567383,1,-381.0999755859375,-6.0,-400.3013333333333,0.0
18,25,0.1,270,left,246.73199653625488,0.06947708129882812,1,-398.20001220703125,12.20001220703125,-400.3013333333333,0.0
19,25,0.6,270,left,235.38661003112793,0.07005882263183594,1,-368.0999755859375,6.29998779296875,-400.3013333333333,0.0
20,25,0.2,90,left,275.75206756591797,0.06994414329528809,1,-384.70001220703125,24.20001220703125,-400.3013333333333,0.0
