trial_index,speed,coherence,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,12,0.8,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
2,12,0.8,90,left,252.82025337219238,0.01012563705444336,1,-301.0999755859375,48.5,-400.3013333333333,0.0
3,12,1.0,90,left,246.8104362487793,0.010187149047851562,1,-344.5,39.399993896484375,-400.3013333333333,0.0
4,12,0.8,270,left,227.45180130004883,0.01062321662902832,1,-322.20001220703125,0.9000244140625,-400.3013333333333,0.0
5,20,1.0,90,left,208.89902114868164,0.009920120239257812,1,-283.79998779296875,58.899993896484375,-400.3013333333333,0.0
6,12,1.0,90,left,193.76492500305176,0.010462284088134766,1,-270.4000244140625,27.5,-400.3013333333333,0.0
7,12,1.0,90,left,192.7957534790039,0.010155677795410156,1,-346.0,56.79998779296875,-400.3013333333333,0.0
8,20,0.8,270,left,272.30167388916016,0.010184764862060547,1,-325.5,-18.5,-400.3013333333333,0.0
9,12,0.8,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
10,20,1.0,90,left,218.42384338378906,0.009954452514648438,1,-211.29998779296875,0.29998779296875,-400.3013333333333,0.0
11,20,1.0,90,left,207.1974277496338,0.01030588150024414,1,-351.70001220703125,41.29998779296875,-400.3013333333333,0.0
12,20,0.8,90,left,155.4555892944336,0.010135412216186523,1,-276.20001220703125,-1.0,-400.3013333333333,0.0
13,12,0.8,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
14,20,0.8,90,left,198.76646995544434,0.009861469268798828,1,-300.29998779296875,52.899993896484375,-400.3013333333333,0.0
15,12,0.8,90,left,194.55242156982422,0.010092496871948242,1,-349.5999755859375,46.79998779296875,-400.3013333333333,0.0
16,20,1.0,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
17,20,0.8,270,left,216.54701232910156,0.009919881820678711,1,-272.4000244140625,14.79998779296875,-400.3013333333333,0.0
18,20,0.8,270,left,195.94740867614746,0.00971841812133789,1,-310.20001220703125,0.20001220703125,-400.3013333333333,0.0
19,20,0.8,270,left,193.4945583343506,0.010200738906860352,1,-331.4000244140625,11.0999755859375,-400.3013333333333,0.0
20,20,0.8,270,left,38.26451301574707,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
21,20,0.8,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
22,20,1.0,90,left,200.4718780517578,0.01022481918334961,1,-306.5,43.29998779296875,-400.3013333333333,0.0
23,20,1.0,270,left,251.56474113464355,0.010238170623779297,1,-276.70001220703125,-1.9000244140625,-400.3013333333333,0.0
24,12,1.0,90,left,220.17884254455566,0.009963512420654297,1,-331.29998779296875,28.399993896484375,-400.3013333333333,0.0
25,12,0.8,90,left,185.79363822937012,0.009423017501831055,1,-326.70001220703125,-0.20001220703125,-400.3013333333333,0.0
26,12,0.8,90,left,191.73526763916016,0.010507583618164062,1,-266.29998779296875,48.79998779296875,-400.3013333333333,0.0
27,12,1.0,90,left,207.99708366394043,0.009922504425048828,1,-296.0999755859375,41.5,-400.3013333333333,0.0
28,12,0.8,90,left,195.60933113098145,0.00998997688293457,1,-280.9000244140625,28.5,-400.3013333333333,0.0
29,12,0.8,270,left,207.55839347839355,0.010175466537475586,1,-283.70001220703125,-14.0,-400.3013333333333,0.0
30,12,1.0,270,left,213.84191513061523,0.009918212890625,1,-302.0999755859375,-33.29998779296875,-400.3013333333333,0.0
31,20,1.0,270,left,279.4609069824219,0.013889789581298828,1,-282.5999755859375,-49.4000244140625,-400.3013333333333,0.0
32,20,1.0,270,left,196.05064392089844,0.010190248489379883,1,-296.70001220703125,-12.0,-400.3013333333333,0.0
33,12,0.8,270,left,227.5559902191162,0.010144710540771484,1,-271.0999755859375,-26.70001220703125,-400.3013333333333,0.0
34,12,1.0,90,left,171.6299057006836,0.010396718978881836,1,-332.29998779296875,-1.20001220703125,-400.3013333333333,0.0
35,12,1.0,270,left,178.61628532409668,0.010057926177978516,1,-333.5,-3.70001220703125,-400.3013333333333,0.0
36,20,1.0,270,left,200.41942596435547,0.009920120239257812,1,-204.70001220703125,-13.4000244140625,-400.3013333333333,0.0
37,20,1.0,270,left,251.85370445251465,0.01021575927734375,1,-291.29998779296875,-38.4000244140625,-400.3013333333333,0.0
38,20,1.0,90,left,218.66774559020996,0.009764909744262695,1,-200.0999755859375,11.70001220703125,-400.3013333333333,0.0
39,12,0.8,90,left,205.0919532775879,0.010039806365966797,1,-294.70001220703125,32.70001220703125,-400.3013333333333,0.0
40,20,0.8,270,left,249.21870231628418,0.010071754455566406,1,-242.20001220703125,-30.0999755859375,-400.3013333333333,0.0
