trial_index,mode,correct,reaction_time
1,go,0,-1.0
2,go,0,-1.0
3,go,0,-1.0
4,go,0,-1.0
5,go,0,-1.0
6,go,0,-1.0
7,go,0,-1.0
8,go,0,-1.0
9,go,0,-1.0
10,go,1,9.85
11,go,1,-1.0
12,go,1,-1.0
13,go,1,-1.0
14,go,1,10.47
15,go,0,-1.0
16,go,1,-1.0
17,go,1,-1.0
18,go,1,-1.0
19,go,1,-1.0
20,go,1,-1.0
21,go,1,-1.0
22,go,1,-1.0
23,go,1,-1.0
24,go,1,9.65
25,go,1,9.63
26,go,1,-1.0
27,go,1,-1.0
28,go,1,-1.0
29,go,1,10.23
30,go,1,-1.0
31,noise,0,-1.0
32,noise,0,-1.0
33,noise,0,-1.0
34,noise,1,-1.0
35,noise,1,-1.0
36,noise,1,-1.0
37,noise,1,-1.0
38,noise,1,-1.0
39,noise,1,-1.0
40,noise,1,-1.0
41,noise,1,-1.0
42,noise,1,-1.0
43,noise,1,-1.0
44,noise,0,-1.0
45,noise,0,-1.0
46,noise,0,-1.0
47,noise,0,-1.0
48,noise,1,-1.0
49,noise,1,-1.0
50,noise,1,-1.0
51,noise,0,-1.0
52,noise,0,-1.0
53,noise,0,-1.0
54,noise,0,-1.0
55,noise,1,-1.0
56,noise,1,-1.0
57,noise,0,-1.0
58,noise,1,-1.0
59,noise,1,-1.0
60,go,1,10.25
61,go,1,-1.0
62,go,0,-1.0
63,go,0,-1.0
64,go,1,10.17
65,go,0,-1.0
66,go,1,-1.0
67,go,1,-1.0
68,go,1,-1.0
69,go,0,-1.0
70,go,1,10.08
71,go,0,-1.0
72,go,1,-1.0
73,go,1,-1.0
74,go,0,-1.0
75,go,1,-1.0
76,go,0,-1.0
77,go,1,-1.0
78,go,0,-1.0
79,go,0,-1.0
80,go,1,-1.0
81,go,1,9.9
82,go,0,-1.0
83,go,1,-1.0
84,go,1,-1.0
85,go,1,-1.0
86,go,1,-1.0
87,go,1,-1.0
88,go,0,-1.0
89,go,1,-1.0
