trial_index,mode,correct,reaction_time
1,noise,0,109.013
2,noise,0,100.086
3,noise,0,-1.0
4,noise,0,-1.0
5,noise,0,-1.0
6,noise,0,-1.0
7,noise,1,-1.0
8,noise,0,145.965
9,noise,0,125.412
10,noise,0,97.073
11,noise,1,-1.0
12,noise,1,-1.0
13,noise,1,-1.0
14,noise,1,-1.0
15,noise,0,285.504
16,noise,1,-1.0
17,noise,0,665.629
18,noise,0,706.885
19,noise,1,-1.0
20,noise,0,140.487
21,noise,1,-1.0
22,noise,0,248.955
23,noise,1,-1.0
24,noise,1,-1.0
25,noise,0,253.323
26,noise,1,-1.0
27,noise,0,230.346
28,noise,1,-1.0
29,noise,0,105.151
30,noise,0,102.103
31,noise,0,366.255
32,noise,1,-1.0
33,noise,0,96.502
34,noise,0,-1.0
35,noise,1,-1.0
36,noise,0,199.391
37,noise,1,-1.0
38,noise,0,696.309
39,noise,0,101.558
40,noise,0,-1.0
41,noise,0,-1.0
42,noise,0,-1.0
43,noise,0,-1.0
44,noise,0,-1.0
45,noise,0,-1.0
46,noise,1,-1.0
47,noise,1,-1.0
48,noise,0,107.139
49,noise,0,571.073
50,noise,0,248.334
51,noise,1,-1.0
52,noise,0,150.168
53,noise,0,174.837
54,noise,0,-1.0
55,noise,0,238.914
56,noise,0,-1.0
57,noise,0,-1.0
58,noise,0,-1.0
59,noise,0,928.878
60,noise,1,-1.0
61,noise,1,-1.0
62,noise,0,358.942
63,noise,1,-1.0
64,noise,1,-1.0
65,noise,0,104.426
66,noise,1,-1.0
67,noise,1,-1.0
68,noise,1,-1.0
69,noise,0,141.904
70,noise,1,-1.0
71,noise,1,-1.0
72,noise,1,-1.0
73,noise,0,213.822
74,noise,1,-1.0
75,noise,1,-1.0
76,noise,1,-1.0
77,noise,1,-1.0
78,go,1,-1.0
79,go,1,250.193
80,go,1,249.389
81,go,0,-1.0
82,go,0,-1.0
83,go,0,-1.0
84,go,0,-1.0
85,go,0,-1.0
86,go,0,-1.0
87,noise,0,139.954
88,noise,0,-1.0
89,noise,0,-1.0
90,noise,0,96.569
91,noise,0,-1.0
92,noise,0,179.523
93,noise,0,97.671
94,noise,0,94.164
95,noise,0,129.17
96,noise,0,530.826
97,noise,0,-1.0
98,noise,0,-1.0
99,noise,0,-1.0
100,noise,0,99.728
101,noise,0,-1.0
102,noise,0,-1.0
103,noise,0,-1.0
104,noise,0,-1.0
105,noise,0,215.071
106,noise,0,-1.0
107,noise,0,-1.0
108,noise,0,-1.0
109,noise,0,-1.0
110,noise,0,-1.0
111,noise,0,517.946
112,noise,1,-1.0
113,noise,0,98.507
114,noise,1,-1.0
115,noise,0,248.498
116,noise,0,210.306
117,noise,1,-1.0
118,noise,1,-1.0
119,noise,1,-1.0
120,noise,1,-1.0
121,noise,0,304.053
122,noise,1,-1.0
123,noise,1,-1.0
124,noise,0,262.306
125,noise,0,-1.0
126,noise,0,-1.0
127,noise,0,-1.0
128,noise,0,-1.0
129,noise,0,-1.0
