trial_index,trial_start_time,trial_start_tracker_time,speed,coherence,direction,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,saccade_start_x,saccade_start_y,stim_x,stim_y,fix_onset,fix_onset_tracker,stim_onset,stim_onset_tracker,stim_offset,stim_offset_tracker,saccade_onset,saccade_onset_tracker,fix_x,fix_y
2,1758914844.2642741,264667481.0,25,0.6,90,224.15494918823242,0.010161638259887695,1,-186.4000244140625,134.0,-142.9000244140625,-72.39999389648438,-200.15066666666664,160.12053333333333,1758914844.593641,264668025.0,1758914845.1192653,264668336.0,1758914845.353582,264668570.0,1758914845.3434203,264668560.0,0,0
3,1758914847.5017018,264670719.0,25,0.0,90,227.8432846069336,0.009985208511352539,1,-174.79998779296875,128.0,-122.79998779296875,-70.39999389648438,-200.15066666666664,160.12053333333333,1758914847.9308333,264671350.0,1758914848.5055542,264671722.0,1758914848.7433827,264671960.0,1758914848.7333975,264671950.0,0,0
4,1758914850.697458,264673914.0,25,0.35,90,203.39035987854004,0.009891986846923828,1,-181.29998779296875,127.89999389648438,-103.5999755859375,-55.29998779296875,-200.15066666666664,160.12053333333333,1758914850.8307388,264674266.0,1758914851.7997777,264675017.0,1758914852.01306,264675230.0,1758914852.003168,264675220.0,0,0
5,1758914854.332182,264677549.0,25,0.2,90,224.3199348449707,0.009702682495117188,1,-182.4000244140625,126.29998779296875,-77.9000244140625,-46.70001220703125,-200.15066666666664,160.12053333333333,1758914854.529407,264677963.0,1758914855.3687449,264678586.0,1758914855.6027675,264678820.0,1758914855.5930648,264678810.0,0,0
6,1758914857.9812212,264681197.0,25,0.1,270,231.8575382232666,0.35912132263183594,1,-193.5,140.79998779296875,-146.29998779296875,-105.60000610351562,-200.15066666666664,160.12053333333333,1758914858.3698008,264681801.0,1758914859.1008756,264682318.0,1758914859.6918545,264682908.0,1758914859.3327332,264682550.0,0,0
7,1758914861.9207296,264685138.0,25,0.2,90,174.36456680297852,-1.0,0,-1.0,-1.0,359.5,78.29998779296875,-200.15066666666664,160.12053333333333,1758914862.2189288,264685647.0,1758914862.9980307,264686215.0,-1.0,-1.0,1758914863.1723952,264686390.0,0,0
8,1758914864.9365973,264688153.0,25,0.35,90,275.1340866088867,0.0014872550964355469,1,-197.4000244140625,132.70001220703125,-190.5999755859375,-119.70001220703125,-200.15066666666664,160.12053333333333,1758914865.2845547,264688717.0,1758914865.8159716,264689033.0,1758914866.092593,264689303.0,1758914866.0911057,264689301.0,0,0
9,1758914868.3015273,264691518.0,25,0.35,90,286.81015968322754,0.009458541870117188,1,-191.9000244140625,130.89999389648438,-79.5999755859375,-40.29998779296875,-200.15066666666664,160.12053333333333,1758914868.5014687,264691935.0,1758914868.9959204,264692213.0,1758914869.2921891,264692509.0,1758914869.2827306,264692499.0,0,0
10,1758914871.583827,264694801.0,25,0.6,90,190.9627914428711,0.009619712829589844,1,-208.0999755859375,148.0,-180.79998779296875,-128.70001220703125,-200.15066666666664,160.12053333333333,1758914871.7380974,264695176.0,1758914872.5216987,264695738.0,1758914872.7222812,264695939.0,1758914872.7126615,264695929.0,0,0
11,1758914875.132578,264698349.0,25,0.1,270,223.0815887451172,0.010296344757080078,1,-192.4000244140625,129.79998779296875,-170.0999755859375,-118.79998779296875,-200.15066666666664,160.12053333333333,1758914875.1375422,264698561.0,1758914875.749439,264698966.0,1758914875.9823542,264699199.0,1758914875.9725206,264699189.0,0,0
