trial_index,spatial_frequency,temporal_frequency,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,0.25,8,90,left,212.33725547790527,0.00994873046875,1,-410.29998779296875,71.79998779296875,-400.3013333333333,0.0
2,0.25,5,90,left,280.93528747558594,0.009642362594604492,1,-384.0999755859375,38.20001220703125,-400.3013333333333,0.0
3,0.25,8,90,left,223.8020896911621,0.010414361953735352,1,-334.70001220703125,45.600006103515625,-400.3013333333333,0.0
4,0.25,5,270,left,192.21043586730957,0.009699821472167969,1,-336.4000244140625,21.9000244140625,-400.3013333333333,0.0
5,0.25,8,270,left,231.86516761779785,0.009865283966064453,1,-353.79998779296875,16.29998779296875,-400.3013333333333,0.0
6,0.25,5,270,left,308.8192939758301,0.010509967803955078,1,-322.5999755859375,18.9000244140625,-400.3013333333333,0.0
7,0.25,8,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
8,0.25,5,90,left,319.4766044616699,0.010003328323364258,1,-333.9000244140625,15.0999755859375,-400.3013333333333,0.0
9,0.25,5,270,left,228.37042808532715,0.010077714920043945,1,-363.9000244140625,38.29998779296875,-400.3013333333333,0.0
10,0.25,8,270,left,152.35209465026855,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
