trial_index,speed,coherence,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,25,0.6,270,left,41.71419143676758,0.04060673713684082,1,-356.29998779296875,-25.0,-400.3013333333333,0.0
2,25,0.2,270,left,276.2942314147949,0.04082822799682617,1,-336.0999755859375,-46.9000244140625,-400.3013333333333,0.0
3,25,0.35,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
4,25,0.6,270,left,334.15985107421875,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
5,25,0.35,270,left,246.0331916809082,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
6,25,0.6,90,left,241.66631698608398,0.040518760681152344,1,-320.79998779296875,46.600006103515625,-400.3013333333333,0.0
7,25,0.1,270,left,207.03887939453125,0.04053926467895508,1,-332.4000244140625,-54.0,-400.3013333333333,0.0
8,25,0.2,90,left,228.81340980529785,0.04060792922973633,1,-344.5,-40.5999755859375,-400.3013333333333,0.0
9,25,0.35,90,left,231.64868354797363,0.0404660701751709,1,-333.20001220703125,-4.4000244140625,-400.3013333333333,0.0
10,25,0.1,90,left,209.17677879333496,0.041341304779052734,1,-350.4000244140625,-6.4000244140625,-400.3013333333333,0.0
11,25,0.1,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
12,25,0.35,90,left,223.97828102111816,0.0410311222076416,1,-323.29998779296875,8.0999755859375,-400.3013333333333,0.0
13,25,0.2,270,left,192.63982772827148,0.043224334716796875,1,-344.4000244140625,7.20001220703125,-400.3013333333333,0.0
14,25,0.6,270,left,204.80871200561523,0.04117155075073242,1,-389.5,-12.4000244140625,-400.3013333333333,0.0
15,25,0.1,270,left,203.0618190765381,0.040630340576171875,1,-352.9000244140625,19.79998779296875,-400.3013333333333,0.0
16,25,0.2,90,left,259.3393325805664,0.04085969924926758,1,-339.4000244140625,33.600006103515625,-400.3013333333333,0.0
17,25,0.6,270,left,219.20204162597656,0.040190696716308594,1,-317.0,-77.79998779296875,-400.3013333333333,0.0
18,25,0.6,90,left,271.4557647705078,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
19,25,0.0,90,left,294.98744010925293,0.04012608528137207,1,-376.4000244140625,33.100006103515625,-400.3013333333333,0.0
20,25,0.1,90,left,262.423038482666,0.04074811935424805,1,-370.79998779296875,14.0999755859375,-400.3013333333333,0.0
21,25,0.0,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
23,25,0.2,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
25,25,0.35,90,left,409.79599952697754,0.04045724868774414,1,-329.5999755859375,15.0999755859375,-400.3013333333333,0.0
26,25,0.2,270,left,254.86016273498535,0.04034686088562012,1,-321.4000244140625,-17.5,-400.3013333333333,0.0
27,25,0.2,270,left,232.83123970031738,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
28,25,0.6,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
29,25,0.1,90,left,214.57719802856445,0.04244494438171387,1,-295.5999755859375,-6.29998779296875,-400.3013333333333,0.0
30,25,0.1,270,left,271.5272903442383,0.04114723205566406,1,-313.20001220703125,-39.0999755859375,-400.3013333333333,0.0
31,25,0.1,90,left,267.49634742736816,0.039777278900146484,1,-273.79998779296875,34.399993896484375,-400.3013333333333,0.0
32,25,0.2,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
33,25,0.2,270,left,228.6996841430664,0.07058429718017578,1,-365.9000244140625,-98.0,-400.3013333333333,0.0
34,25,0.2,90,left,254.35256958007812,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
35,25,0.6,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
37,25,0.35,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
38,25,0.35,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
