trial_index,speed,coherence,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,12,0.8,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
2,20,0.8,90,left,89.16449546813965,0.339627742767334,1,-463.5,-27.29998779296875,-400.3013333333333,0.0
3,12,0.8,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
4,12,0.8,270,left,401.93748474121094,0.5794823169708252,1,-292.79998779296875,-59.5,-400.3013333333333,0.0
5,20,0.8,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
6,20,1.0,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
7,20,0.8,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
8,12,1.0,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
9,12,0.8,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
