trial_index,spatial_frequency,temporal_frequency,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
27,0.25,6,270,left,223.2508659362793,0.010241270065307617,1,-366.5,9.0,-400.3013333333333,0.0
28,0.25,6,270,left,32.981157302856445,0.009618520736694336,1,-288.29998779296875,53.0,-400.3013333333333,0.0
29,0.25,3,90,left,354.96973991394043,0.019840002059936523,1,-342.5,6.79998779296875,-400.3013333333333,0.0
30,0.25,6,90,left,256.8631172180176,0.010357856750488281,1,-345.29998779296875,57.600006103515625,-400.3013333333333,0.0
31,0.25,6,270,left,242.2027587890625,0.010087966918945312,1,-333.5999755859375,36.100006103515625,-400.3013333333333,0.0
32,0.25,6,270,left,211.19070053100586,0.010040044784545898,1,-358.29998779296875,8.79998779296875,-400.3013333333333,0.0
33,0.25,3,90,left,214.6925926208496,0.009920835494995117,1,-361.0,51.600006103515625,-400.3013333333333,0.0
34,0.25,6,90,left,214.45441246032715,0.010671615600585938,1,-322.29998779296875,63.29998779296875,-400.3013333333333,0.0
35,0.25,3,270,left,400.0697135925293,0.009891748428344727,1,-308.70001220703125,53.899993896484375,-400.3013333333333,0.0
36,0.25,3,270,left,276.41963958740234,0.009919881820678711,1,-371.20001220703125,5.5,-400.3013333333333,0.0
37,0.25,6,270,left,376.1270046234131,0.00993967056274414,1,-281.5999755859375,21.29998779296875,-400.3013333333333,0.0
38,0.25,6,270,left,253.8754940032959,0.010072469711303711,1,-349.79998779296875,27.5999755859375,-400.3013333333333,0.0
39,0.25,3,270,left,312.0853900909424,0.009680747985839844,1,-354.29998779296875,31.399993896484375,-400.3013333333333,0.0
40,0.25,6,90,left,364.910364151001,0.009920120239257812,1,-375.79998779296875,55.5,-400.3013333333333,0.0
41,0.25,3,270,left,381.93678855895996,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
42,0.25,6,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
43,0.25,3,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
44,0.25,3,90,left,203.79185676574707,0.009540557861328125,1,-371.0999755859375,69.20001220703125,-400.3013333333333,0.0
45,0.25,6,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
46,0.25,6,90,left,277.53686904907227,0.010144948959350586,1,-348.0,46.399993896484375,-400.3013333333333,0.0
47,0.25,6,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
48,0.25,3,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
49,0.25,6,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
50,0.25,3,270,left,258.50415229797363,0.010006427764892578,1,-350.0999755859375,44.399993896484375,-400.3013333333333,0.0
51,0.25,6,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
52,0.25,3,90,left,93.05024147033691,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
