trial_index,speed,coherence,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,25,0.2,90,left,224.81012344360352,0.05982470512390137,1,-354.9000244140625,23.70001220703125,-400.3013333333333,0.0
2,25,0.35,90,left,200.94704627990723,0.061041831970214844,1,-369.70001220703125,70.20001220703125,-400.3013333333333,0.0
3,25,0.2,270,left,255.7814121246338,0.060503244400024414,1,-352.29998779296875,53.5,-400.3013333333333,0.0
4,25,0.1,270,left,260.9827518463135,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
5,25,0.1,270,left,218.23954582214355,0.059760093688964844,1,-378.70001220703125,28.20001220703125,-400.3013333333333,0.0
6,25,0.35,90,left,226.593017578125,0.05940556526184082,1,-343.4000244140625,7.29998779296875,-400.3013333333333,0.0
7,25,0.2,270,left,228.0099391937256,0.059557199478149414,1,-365.5999755859375,-39.0,-400.3013333333333,0.0
8,25,0.6,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
9,25,0.2,90,left,208.6336612701416,0.0597841739654541,1,-396.0,29.20001220703125,-400.3013333333333,0.0
10,25,0.35,90,left,33.674001693725586,0.060194969177246094,1,-403.29998779296875,41.399993896484375,-400.3013333333333,0.0
11,25,0.6,270,left,40.194034576416016,0.06005597114562988,1,-378.5,58.100006103515625,-400.3013333333333,0.0
12,25,0.0,90,left,200.25253295898438,0.05979514122009277,1,-360.20001220703125,-23.0999755859375,-400.3013333333333,0.0
13,25,0.2,90,left,198.7299919128418,0.059581756591796875,1,-374.5,44.600006103515625,-400.3013333333333,0.0
14,25,0.2,90,left,194.87309455871582,0.06046438217163086,1,-340.79998779296875,41.20001220703125,-400.3013333333333,0.0
15,25,0.6,270,left,0.0,0.05432724952697754,1,-451.6000061035156,32.5,-400.3013333333333,0.0
16,25,0.6,270,left,216.9516086578369,0.05964779853820801,1,-397.0999755859375,-6.9000244140625,-400.3013333333333,0.0
17,25,0.0,90,left,170.88699340820312,0.05919790267944336,1,-411.5999755859375,30.70001220703125,-400.3013333333333,0.0
18,25,0.0,270,left,19.881486892700195,0.05905866622924805,1,-412.0999755859375,28.29998779296875,-400.3013333333333,0.0
19,25,0.35,270,left,187.69359588623047,0.05938577651977539,1,-361.29998779296875,11.5,-400.3013333333333,0.0
20,25,0.1,90,left,91.04418754577637,0.05987739562988281,1,-388.20001220703125,48.70001220703125,-400.3013333333333,0.0
21,25,0.2,270,left,171.7052459716797,0.06056857109069824,1,-390.0,10.70001220703125,-400.3013333333333,0.0
22,25,0.0,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
23,25,0.6,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
24,25,0.0,90,left,219.5427417755127,0.05930757522583008,1,-336.0,23.29998779296875,-400.3013333333333,0.0
25,25,0.1,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
26,25,0.6,90,left,287.2335910797119,0.05984044075012207,1,-345.20001220703125,14.0,-400.3013333333333,0.0
27,25,0.2,90,left,238.37566375732422,0.05938839912414551,1,-271.5999755859375,-6.79998779296875,-400.3013333333333,0.0
28,25,0.1,90,left,237.3213768005371,0.08000636100769043,1,-375.20001220703125,-55.0999755859375,-400.3013333333333,0.0
29,25,0.35,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
30,25,0.2,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
32,25,0.6,90,left,30.362844467163086,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
34,25,0.2,270,left,316.6046142578125,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
35,25,0.0,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
36,25,0.2,90,left,437.1514320373535,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
37,25,0.1,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
38,25,0.6,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
39,25,0.6,270,left,219.08211708068848,0.060332298278808594,1,-341.20001220703125,-8.29998779296875,-400.3013333333333,0.0
40,25,0.2,90,left,200.5321979522705,0.05954718589782715,1,-375.29998779296875,-16.79998779296875,-400.3013333333333,0.0
41,25,0.6,270,left,226.19080543518066,0.06056571006774902,1,-334.70001220703125,-34.0,-400.3013333333333,0.0
